iter	Logloss
0	0.6622635746
1	0.6337178743
2	0.6098787363
3	0.5886336454
4	0.5694916617
5	0.5511983638
6	0.5349115035
7	0.521999807
8	0.5111229928
9	0.5003094928
10	0.4911220721
11	0.4834062062
12	0.4750476315
13	0.4682728743
14	0.4631436057
15	0.4565005217
16	0.4520501082
17	0.4474587577
18	0.4423929293
19	0.43806021
20	0.4342719955
21	0.4312057221
22	0.4288668153
23	0.4259073902
24	0.4230282859
25	0.4216093592
26	0.4195800221
27	0.4173220717
28	0.4148939628
29	0.413294683
30	0.411282491
31	0.4097930475
32	0.4080155657
33	0.4069095698
34	0.4059334461
35	0.4044485231
36	0.4033091057
37	0.4022918184
38	0.4016799013
39	0.4006108799
40	0.3992446885
41	0.3986530402
42	0.3977238422
43	0.3972671601
44	0.3968040386
45	0.3963491384
46	0.3958972312
47	0.3955542999
48	0.3946397078
49	0.3942258072
50	0.393611768
51	0.3929705661
52	0.3927529913
53	0.392207479
54	0.3915692617
55	0.3908789665
56	0.3903529397
57	0.3900142098
58	0.3895740996
59	0.389107386
60	0.3883663812
61	0.3878509605
62	0.3877761909
63	0.3877309534
64	0.3874276713
65	0.3870572156
66	0.3864266389
67	0.3862375225
68	0.3861063395
69	0.3857115946
70	0.3850177242
71	0.3846801746
72	0.3844603382
73	0.3842038719
74	0.3837522093
75	0.3828456108
76	0.3826196406
77	0.3822488723
78	0.38196645
79	0.3816914102
80	0.3813928792
81	0.3811150131
82	0.3807119749
83	0.3805583757
84	0.3802583367
85	0.3802032068
86	0.3797787184
87	0.3794680056
88	0.3792015535
89	0.3792004304
90	0.3790372789
91	0.3786034717
92	0.3784440887
93	0.3782126152
94	0.377911021
95	0.3776586271
96	0.3767044887
97	0.3763821795
98	0.3760609217
99	0.3758855405
100	0.3757373337
101	0.3754766738
102	0.3753112533
103	0.375173513
104	0.3750861945
105	0.3748644196
106	0.3745187418
107	0.3743152128
108	0.3742893928
109	0.3740649013
110	0.3737174014
111	0.373672485
112	0.3734667885
113	0.373132671
114	0.373027728
115	0.3726352281
116	0.3724859979
117	0.372242029
118	0.372222038
119	0.3721128497
120	0.3718446261
121	0.3716184011
122	0.3712728847
123	0.37088264
124	0.3707938137
125	0.3707866768
126	0.3706412937
127	0.3704452881
128	0.3700386727
129	0.3700386576
130	0.3693988033
131	0.3692176038
132	0.3691548599
133	0.369011818
134	0.3688354567
135	0.3684086538
136	0.3680473848
137	0.3677083907
138	0.3675141659
139	0.3670329406
140	0.3668399315
141	0.3667394993
142	0.3665151835
143	0.3664248263
144	0.3664245759
145	0.3664245529
146	0.3660793974
147	0.3659065438
148	0.3656005556
149	0.3650076234
150	0.364757599
151	0.364578864
152	0.3642072823
153	0.3637884284
154	0.3635814224
155	0.3632210971
156	0.3631057767
157	0.3629478527
158	0.3625738011
159	0.3622770894
160	0.362217835
161	0.3618408361
162	0.3614524459
163	0.3609316736
164	0.3607366119
165	0.3605751919
166	0.3604240398
167	0.3600322457
168	0.3592378982
169	0.3591053037
170	0.3588468623
171	0.3584102179
172	0.3579424122
173	0.3575114455
174	0.357239157
175	0.3572282413
176	0.3569786856
177	0.3568949532
178	0.3566166846
179	0.3563999687
180	0.3561017087
181	0.3553387583
182	0.3550037049
183	0.3545822039
184	0.3542039346
185	0.3537350466
186	0.3533349213
187	0.3529654753
188	0.3524597769
189	0.3521173791
190	0.3518238382
191	0.3515429154
192	0.3513960185
193	0.3510937817
194	0.3508794831
195	0.3507503807
196	0.3504890534
197	0.3501552258
198	0.3496524782
199	0.3493797117
200	0.349139904
201	0.3488747197
202	0.3486797056
203	0.348509319
204	0.3480414228
205	0.3477469627
206	0.3473113943
207	0.3466752578
208	0.3461554417
209	0.346025888
210	0.3456795493
211	0.3452117502
212	0.3448473451
213	0.3445402094
214	0.3444635106
215	0.3442845529
216	0.3441020937
217	0.3435554895
218	0.3432283242
219	0.3429788024
220	0.3427463015
221	0.3426190825
222	0.3422274033
223	0.3420477931
224	0.3417466168
225	0.3415597554
226	0.3414692306
227	0.3410738743
228	0.3409343305
229	0.3407753355
230	0.3403436796
231	0.3397370566
232	0.3394012781
233	0.3392525273
234	0.3391684527
235	0.3388523593
236	0.3384315173
237	0.3381561618
238	0.3378881856
239	0.3374505222
240	0.3373012295
241	0.3371885496
242	0.3369219137
243	0.3366692048
244	0.3363504424
245	0.3362784366
246	0.3358248614
247	0.3352819535
248	0.3351181215
249	0.3349166491
250	0.3345338068
251	0.3342222272
252	0.3341146022
253	0.3336332926
254	0.333559235
255	0.3333491874
256	0.3331797237
257	0.3329922833
258	0.3328344298
259	0.3324985722
260	0.3319962007
261	0.3316190444
262	0.3314618081
263	0.3311670424
264	0.330845527
265	0.3304513185
266	0.329990879
267	0.3298508433
268	0.3297559439
269	0.3294226655
270	0.3290403159
271	0.328954544
272	0.3286050458
273	0.3279764816
274	0.3277905144
275	0.3272985578
276	0.3271762671
277	0.3270422113
278	0.3269589556
279	0.3266520999
280	0.3262964227
281	0.3260842126
282	0.3260262717
283	0.3258334427
284	0.3256432953
285	0.3254661381
286	0.325383661
287	0.3248249747
288	0.3245920264
289	0.324580101
290	0.3244222292
291	0.3240598708
292	0.323989789
293	0.3238540133
294	0.3236079751
295	0.3230705141
296	0.3226736058
297	0.3225198676
298	0.3219260168
299	0.3218434312
300	0.3215699206
301	0.3211459763
302	0.320924675
303	0.3206761153
304	0.3203094309
305	0.3200662191
306	0.3195434497
307	0.319398083
308	0.3193392469
309	0.3190044074
310	0.3187861465
311	0.3184071352
312	0.3180213846
313	0.3177983695
314	0.3175960987
315	0.3173206912
316	0.3165625331
317	0.316440871
318	0.3162568525
319	0.3159189954
320	0.3156252356
321	0.3153845154
322	0.3149947583
323	0.3145868986
324	0.3144278475
325	0.3138641948
326	0.3133561829
327	0.3131827545
328	0.3130784284
329	0.3129252777
330	0.3128514163
331	0.312618458
332	0.3125652608
333	0.3120920338
334	0.3118101086
335	0.3113631866
336	0.3111953928
337	0.3109895401
338	0.3107411525
339	0.3103946654
340	0.3102753696
341	0.3098622821
342	0.3095187968
343	0.309185405
344	0.3090012601
345	0.3085165141
346	0.3082955784
347	0.3079151098
348	0.3076625621
349	0.3073537935
350	0.3072826267
351	0.3070185811
352	0.3068148929
353	0.3066980099
354	0.3066685571
355	0.3064159539
356	0.3063497476
357	0.3061800419
358	0.3058894401
359	0.3056690666
360	0.3053800334
361	0.3049778323
362	0.3049113038
363	0.3047277447
364	0.3043423681
365	0.303835915
366	0.3037691292
367	0.3036982992
368	0.3034998838
369	0.3030605238
370	0.3028732888
371	0.3026996281
372	0.3026002008
373	0.3024374821
374	0.3023388721
375	0.3021280972
376	0.3020012473
377	0.3018003085
378	0.3015097193
379	0.301412496
380	0.3012633433
381	0.3010218231
382	0.3009150698
383	0.3007894691
384	0.3003972496
385	0.3002231648
386	0.3000973862
387	0.3000494621
388	0.299782671
389	0.299507565
390	0.2990097879
391	0.2989125309
392	0.2987916471
393	0.2987223509
394	0.2985875211
395	0.2984025252
396	0.2980120773
397	0.297926537
398	0.2975987969
399	0.2972427998
400	0.2972158606
401	0.2968260431
402	0.2966131865
403	0.2961984817
404	0.2959364409
405	0.2954161382
406	0.295210405
407	0.2948065631
408	0.2947275596
409	0.2946424947
410	0.2943583776
411	0.2940135046
412	0.2938720172
413	0.2936459386
414	0.2935369171
415	0.2935065518
416	0.2931688024
417	0.29278451
418	0.2927230221
419	0.2924198731
420	0.2921597854
421	0.2919440378
422	0.2917273054
423	0.2913673608
424	0.2912125832
425	0.291000091
426	0.2908645434
427	0.290652272
428	0.290556618
429	0.2902966513
430	0.289834749
431	0.2898217537
432	0.289326193
433	0.2891209894
434	0.2888571319
435	0.2885484569
436	0.2882996655
437	0.2879363003
438	0.2877671265
439	0.2876626781
440	0.2873372959
441	0.2868064931
442	0.2866380655
443	0.2864538245
444	0.2863368286
445	0.2860649185
446	0.2856393025
447	0.285344128
448	0.2850965759
449	0.2848668569
450	0.2844981865
451	0.2842818789
452	0.2842502944
453	0.2840605666
454	0.2838595532
455	0.2836825446
456	0.2834295974
457	0.2831262802
458	0.2831234435
459	0.28297932
460	0.2828747076
461	0.2827107895
462	0.282574474
463	0.2822203872
464	0.2821500347
465	0.281871351
466	0.2816141058
467	0.2814860342
468	0.2810057844
469	0.2806652517
470	0.2803781656
471	0.2802319067
472	0.2801461523
473	0.2800071544
474	0.279547587
475	0.2792774707
476	0.2789362272
477	0.2784869803
478	0.2783070676
479	0.2781097234
480	0.2778452704
481	0.2775182157
482	0.277366385
483	0.2772379038
484	0.2771500635
485	0.2769307619
486	0.2767247052
487	0.2766200302
488	0.2765137498
489	0.2760649875
490	0.2756988221
491	0.2755356554
492	0.27527087
493	0.2750391394
494	0.2745338086
495	0.2741106491
496	0.2739009337
497	0.2733664983
498	0.2732525077
499	0.273105977
