iter	Passed	Remaining
0	53	26832
1	58	14576
2	62	10295
3	66	8249
4	69	6927
5	74	6165
6	79	5572
7	83	5131
8	86	4738
9	91	4473
10	94	4214
11	97	3945
12	100	3780
13	108	3782
14	111	3607
15	114	3464
16	118	3380
17	123	3298
18	126	3190
19	128	3088
20	131	2999
21	134	2918
22	136	2835
23	139	2766
24	141	2697
25	143	2613
26	145	2556
27	149	2528
28	155	2519
29	158	2484
30	161	2446
31	164	2399
32	166	2353
33	169	2316
34	171	2280
35	174	2252
36	177	2224
37	182	2218
38	184	2184
39	188	2165
40	191	2143
41	193	2113
42	196	2089
43	199	2068
44	201	2041
45	204	2020
46	208	2011
47	211	1990
48	214	1972
49	216	1952
50	219	1934
51	222	1916
52	224	1895
53	227	1877
54	230	1867
55	233	1851
56	235	1834
57	239	1827
58	242	1812
59	245	1798
60	248	1788
61	251	1775
62	252	1753
63	254	1732
64	257	1720
65	259	1706
66	263	1703
67	265	1687
68	267	1672
69	270	1660
70	273	1651
71	275	1640
72	278	1628
73	281	1619
74	284	1609
75	286	1600
76	291	1599
77	293	1587
78	295	1575
79	297	1564
80	300	1553
81	302	1543
82	305	1533
83	307	1523
84	310	1514
85	312	1503
86	316	1500
87	319	1494
88	322	1487
89	323	1474
90	326	1465
91	328	1457
92	331	1452
93	334	1443
94	336	1436
95	339	1430
96	344	1431
97	348	1431
98	351	1425
99	354	1419
100	357	1413
101	360	1405
102	363	1399
103	365	1391
104	368	1384
105	371	1379
106	373	1372
107	376	1366
108	378	1356
109	380	1347
110	382	1340
111	384	1333
112	387	1327
113	390	1321
114	393	1315
115	395	1310
116	398	1304
117	401	1298
118	402	1288
119	404	1282
120	407	1276
121	409	1270
122	412	1264
123	415	1259
124	418	1255
125	420	1247
126	422	1241
127	425	1235
128	427	1230
129	429	1221
130	431	1216
131	434	1211
132	437	1208
133	440	1202
134	445	1203
135	447	1198
136	450	1193
137	453	1188
138	455	1183
139	458	1179
140	461	1173
141	463	1169
142	466	1164
143	468	1159
144	470	1152
145	471	1144
146	474	1139
147	477	1136
148	480	1132
149	483	1127
150	486	1123
151	488	1118
152	491	1115
153	494	1110
154	496	1105
155	499	1101
156	501	1095
157	504	1091
158	506	1087
159	509	1082
160	512	1078
161	514	1074
162	517	1069
163	520	1065
164	522	1061
165	525	1057
166	530	1057
167	533	1053
168	535	1049
169	539	1047
170	542	1043
171	544	1039
172	547	1035
173	550	1030
174	552	1026
175	554	1021
176	557	1016
177	559	1012
178	562	1008
179	565	1004
180	567	1000
181	570	997
182	573	993
183	576	989
184	578	985
185	581	981
186	584	978
187	587	975
188	590	971
189	592	967
190	595	963
191	597	959
192	600	955
193	603	951
194	606	948
195	608	944
196	611	940
197	614	936
198	616	932
199	619	929
200	622	925
201	625	922
202	627	918
203	630	914
204	633	910
205	636	908
206	639	905
207	643	903
208	646	899
209	648	895
210	652	893
211	654	889
212	657	886
213	660	882
214	663	879
215	665	875
216	668	872
217	671	868
218	673	864
219	676	861
220	680	859
221	684	856
222	686	853
223	689	849
224	692	846
225	695	842
226	697	839
227	702	837
228	704	833
229	709	832
230	712	829
231	715	826
232	717	822
233	720	819
234	723	815
235	725	812
236	728	808
237	731	805
238	734	801
239	737	798
240	739	795
241	742	791
242	745	787
243	748	785
244	752	783
245	755	780
246	758	777
247	761	773
248	764	770
249	768	768
250	771	765
251	774	762
252	777	759
253	780	755
254	783	752
255	786	749
256	788	745
257	791	742
258	794	739
259	797	735
260	800	732
261	802	729
262	805	726
263	808	722
264	810	719
265	813	715
266	816	712
267	819	709
268	822	706
269	825	702
270	827	699
271	830	696
272	833	692
273	836	689
274	838	686
275	841	683
276	844	679
277	847	676
278	850	673
279	852	670
280	855	666
281	860	664
282	862	661
283	865	658
284	868	654
285	870	651
286	873	648
287	877	645
288	880	642
289	882	639
290	885	636
291	888	632
292	891	629
293	893	626
294	896	622
295	898	619
296	901	616
297	903	612
298	906	609
299	908	605
300	911	602
301	914	599
302	916	595
303	919	592
304	921	589
305	924	586
306	927	582
307	929	579
308	932	576
309	935	573
310	938	570
311	940	566
312	943	563
313	946	560
314	949	557
315	951	554
316	954	550
317	956	547
318	959	544
319	961	541
320	964	537
321	968	535
322	971	532
323	974	529
324	976	526
325	979	522
326	982	519
327	984	516
328	987	513
329	991	510
330	994	507
331	997	504
332	999	501
333	1002	498
334	1005	495
335	1008	492
336	1010	488
337	1013	485
338	1015	482
339	1018	479
340	1021	476
341	1024	473
342	1027	470
343	1029	466
344	1032	464
345	1035	460
346	1038	457
347	1041	454
348	1044	452
349	1047	449
350	1050	445
351	1052	442
352	1055	439
353	1057	436
354	1060	433
355	1063	430
356	1066	427
357	1068	424
358	1071	420
359	1074	417
360	1076	414
361	1079	411
362	1082	408
363	1084	405
364	1087	402
365	1090	399
366	1093	396
367	1095	392
368	1098	389
369	1100	386
370	1103	383
371	1106	380
372	1109	377
373	1112	374
374	1115	371
375	1118	368
376	1120	365
377	1123	362
378	1126	359
379	1130	357
380	1133	354
381	1136	351
382	1139	347
383	1141	344
384	1144	341
385	1147	338
386	1149	335
387	1152	332
388	1155	329
389	1157	326
390	1160	323
391	1163	320
392	1166	317
393	1169	314
394	1172	311
395	1175	308
396	1177	305
397	1180	302
398	1182	299
399	1185	296
400	1188	293
401	1190	290
402	1193	287
403	1196	284
404	1199	281
405	1201	278
406	1204	275
407	1207	272
408	1210	269
409	1213	266
410	1216	263
411	1218	260
412	1221	257
413	1224	254
414	1226	251
415	1229	248
416	1232	245
417	1235	242
418	1238	239
419	1241	236
420	1244	233
421	1246	230
422	1249	227
423	1252	224
424	1254	221
425	1257	218
426	1260	215
427	1262	212
428	1265	209
429	1268	206
430	1271	203
431	1273	200
432	1276	197
433	1279	194
434	1281	191
435	1284	188
436	1286	185
437	1289	182
438	1292	179
439	1296	176
440	1299	173
441	1301	170
442	1304	167
443	1309	165
444	1311	162
445	1314	159
446	1316	156
447	1318	153
448	1321	150
449	1324	147
450	1327	144
451	1329	141
452	1332	138
453	1336	135
454	1338	132
455	1341	129
456	1344	126
457	1346	123
458	1349	120
459	1352	117
460	1355	114
461	1358	111
462	1360	108
463	1363	105
464	1366	102
465	1368	99
466	1372	96
467	1374	94
468	1378	91
469	1380	88
470	1383	85
471	1386	82
472	1389	79
473	1391	76
474	1394	73
475	1397	70
476	1400	67
477	1402	64
478	1407	61
479	1410	58
480	1412	55
481	1415	52
482	1418	49
483	1421	46
484	1424	44
485	1426	41
486	1429	38
487	1432	35
488	1434	32
489	1438	29
490	1441	26
491	1443	23
492	1446	20
493	1449	17
494	1451	14
495	1454	11
496	1457	8
497	1460	5
498	1462	2
499	1465	0
