fecha,mes,categoria,clase,monto_bs
2025-02-01,2025-02,Transferencias Personales,gasto,67.0
2025-02-03,2025-02,Impuestos - Retención IVA,gasto,0.31
2025-02-03,2025-02,Ingresos - Intereses,ingreso,2.37
2025-02-05,2025-02,Impuestos - Varios,gasto,17.0
2025-02-07,2025-02,Depósitos,deposito,2900.0
2025-02-07,2025-02,Depósitos,deposito,1800.0
2025-02-07,2025-02,Educación - Universidad,gasto,5731.6
2025-02-07,2025-02,Transferencias Personales,gasto,50.0
2025-02-07,2025-02,Transferencias Personales,gasto,400.0
2025-02-08,2025-02,Transferencias Personales,gasto,38.0
2025-02-10,2025-02,Transferencias Personales,gasto,250.0
2025-02-12,2025-02,Transferencias Personales,gasto,150.0
2025-02-12,2025-02,Transferencias Personales,gasto,100.0
2025-02-12,2025-02,Transferencias Personales,gasto,200.0
2025-02-12,2025-02,Transferencias Personales,gasto,50.0
2025-02-12,2025-02,Transferencias Personales,gasto,50.0
2025-02-13,2025-02,Transferencias Personales,gasto,1500.0
2025-02-14,2025-02,Transferencias Personales,gasto,400.0
2025-02-25,2025-02,Entretenimiento - Streaming,gasto,69.63
2025-02-25,2025-02,Depósitos,deposito,700.0
2025-02-25,2025-02,Educación - Universidad,gasto,420.0
2025-02-26,2025-02,Impuestos - Retención IVA,gasto,0.02
2025-02-28,2025-02,Servicios Negocio - Alquiler,gasto,2500.0
2025-02-28,2025-02,Alimentación - Comida Externa,gasto,1600.0
2025-02-28,2025-02,Transporte - Pasajes,gasto,240.0
2025-02-28,2025-02,Servicios Negocio - Seguridad,gasto,190.0
2025-03-05,2025-03,Ingresos - Intereses,ingreso,1.83
2025-03-05,2025-03,Impuestos - Retención IVA,gasto,0.24
2025-03-06,2025-03,Educación - Universidad,gasto,6600.0
2025-03-06,2025-03,Servicios Negocio - Alquiler,gasto,2500.0
2025-03-06,2025-03,Alimentación - Comida Externa,gasto,1600.0
2025-03-06,2025-03,Transporte - Pasajes,gasto,240.0
2025-03-06,2025-03,Servicios Negocio - Seguridad,gasto,190.0
2025-03-06,2025-03,Entretenimiento - Streaming,gasto,69.63
2025-03-06,2025-03,Impuestos - Retención IVA,gasto,0.05
2025-03-14,2025-03,Compras - Varios,gasto,140.0
2025-03-20,2025-03,Depósitos,deposito,5950.0
2025-03-20,2025-03,Transferencias Personales,gasto,500.0
2025-03-20,2025-03,Educación - Universidad,gasto,97.0
2025-03-20,2025-03,Educación - Universidad,gasto,4000.0
2025-03-24,2025-03,Entretenimiento - Eventos,gasto,50.0
2025-03-26,2025-03,Entretenimiento - Eventos,gasto,160.0
2025-03-31,2025-03,Transferencias Personales,gasto,13.0
2025-04-01,2025-04,Impuestos - Retención IVA,gasto,0.15
2025-04-01,2025-04,Ingresos - Intereses,ingreso,1.19
2025-04-05,2025-04,Transporte - Combustible,gasto,177.01
2025-04-06,2025-04,Compras - Varios,gasto,47.0
2025-04-06,2025-04,Compras - Varios,gasto,32.0
2025-04-09,2025-04,Transporte - Vehículo,activo_vehiculo,110000.0
2025-04-09,2025-04,Servicios Negocio - Alquiler,gasto,2500.0
2025-04-09,2025-04,Transporte - Vehículo,activo_vehiculo,1700.0
2025-04-09,2025-04,Alimentación - Comida Externa,gasto,1600.0
2025-04-09,2025-04,Compras - Varios,gasto,412.8
2025-04-09,2025-04,Transporte - Pasajes,gasto,240.0
2025-04-09,2025-04,Impuestos - Varios,gasto,225.0
2025-04-09,2025-04,Impuestos - Varios,gasto,225.0
2025-04-09,2025-04,Servicios - Varios,gasto,225.0
2025-04-09,2025-04,Servicios Negocio - Seguridad,gasto,190.0
2025-04-09,2025-04,Entretenimiento - Streaming,gasto,69.63
2025-04-09,2025-04,Servicios - Varios,gasto,50.0
2025-04-09,2025-04,Impuestos - Retención IVA,gasto,0.19
2025-04-09,2025-04,Compras - Varios,gasto,1000.0
2025-04-27,2025-04,Transferencias Personales,gasto,100.0
2025-05-02,2025-05,Ingresos - Intereses,ingreso,0.58
2025-05-02,2025-05,Impuestos - Retención IVA,gasto,0.08
2025-05-04,2025-05,Transferencias Personales,gasto,2500.0
2025-05-04,2025-05,Retiros en Efectivo,retiro,2600.0
2025-05-08,2025-05,Servicios - Varios,gasto,700.0
2025-05-08,2025-05,Sueldos,gasto,625.0
2025-05-08,2025-05,Compras - Varios,gasto,424.0
2025-05-08,2025-05,Compras - Supermercado,gasto,212.0
2025-05-08,2025-05,Compras - Varios,gasto,140.06
2025-05-08,2025-05,Transferencias Personales,gasto,48.0
2025-05-08,2025-05,Transferencias Personales,gasto,44.0
2025-05-08,2025-05,Transferencias Personales,gasto,28.0
2025-05-08,2025-05,Transferencias Personales,gasto,24.0
2025-05-17,2025-05,Educación - Universidad,gasto,10455.94
2025-05-17,2025-05,Impuestos - Varios,gasto,229.0
2025-05-17,2025-05,Impuestos - Varios,gasto,70.0
2025-05-17,2025-05,Impuestos - Varios,gasto,69.0
2025-05-17,2025-05,Impuestos - Varios,gasto,65.0
2025-05-17,2025-05,Impuestos - Varios,gasto,45.0
2025-05-18,2025-05,Impuestos - Varios,gasto,114.0
2025-05-18,2025-05,Impuestos - Varios,gasto,102.0
2025-05-18,2025-05,Impuestos - Varios,gasto,91.0
2025-05-18,2025-05,Impuestos - Varios,gasto,72.0
2025-05-18,2025-05,Impuestos - Varios,gasto,69.0
2025-05-18,2025-05,Impuestos - Varios,gasto,68.0
2025-05-19,2025-05,Transferencias Personales,gasto,170.0
2025-05-21,2025-05,Servicios - Varios,gasto,340.0
2025-05-22,2025-05,Entretenimiento - Cine,gasto,54.0
2025-05-24,2025-05,Servicios - Suscripciones,gasto,139.4
2025-05-28,2025-05,Sueldos,gasto,650.0
2025-05-30,2025-05,Transferencias Personales,gasto,50.0
2025-05-31,2025-05,Servicios Negocio - Alquiler,gasto,2500.0
2025-05-31,2025-05,Alimentación - Comida Externa,gasto,1600.0
2025-05-31,2025-05,Transporte - Pasajes,gasto,240.0
2025-05-31,2025-05,Servicios Negocio - Seguridad,gasto,190.0
2025-05-31,2025-05,Impuestos - Retención IVA,gasto,35.88
2025-06-02,2025-06,Transferencias Personales,gasto,88.0
2025-06-02,2025-06,Impuestos - Retención IVA,gasto,0.01
2025-06-02,2025-06,Ingresos - Intereses,ingreso,0.07
2025-06-03,2025-06,Transferencias Personales,gasto,18.0
2025-06-08,2025-06,Transferencias Personales,gasto,200.0
2025-06-08,2025-06,Retiros en Efectivo,retiro,100.0
2025-06-09,2025-06,Transferencias Personales,gasto,100.0
2025-06-10,2025-06,Transferencias Personales,gasto,60.0
2025-06-11,2025-06,Transferencias Personales,gasto,50.0
2025-06-12,2025-06,Transferencias Personales,gasto,45.0
2025-06-15,2025-06,Transferencias Personales,gasto,100.0
2025-06-15,2025-06,Transferencias Personales,gasto,400.0
2025-06-23,2025-06,Transferencias Personales,gasto,45.0
2025-06-24,2025-06,Transferencias Personales,gasto,60.0
2025-06-30,2025-06,Servicios Negocio - Alquiler,gasto,2500.0
2025-06-30,2025-06,Alimentación - Comida Externa,gasto,1600.0
2025-06-30,2025-06,Transferencias Personales,gasto,500.0
2025-06-30,2025-06,Transporte - Pasajes,gasto,240.0
2025-06-30,2025-06,Servicios Negocio - Seguridad,gasto,190.0
2025-06-30,2025-06,Impuestos - Retención IVA,gasto,8.19
2025-07-01,2025-07,Ingresos - Intereses,ingreso,0.53
2025-07-02,2025-07,Impuestos - Retención IVA,gasto,0.07
2025-07-03,2025-07,Transferencias Personales,gasto,500.0
2025-07-12,2025-07,Servicios - Suscripciones,gasto,139.4
2025-07-12,2025-07,Alimentación - Varios,gasto,57.0
2025-07-15,2025-07,Transferencias Personales,gasto,48.0
2025-07-16,2025-07,Compras - Supermercado,gasto,43.0
2025-07-18,2025-07,Educación - Universidad,gasto,213.0
2025-07-19,2025-07,Alimentación - Viveres,gasto,56.6
2025-07-22,2025-07,Compras - Varios,gasto,34000.0
2025-07-23,2025-07,Transporte - Vehículo,activo_vehiculo,12.0
2025-07-26,2025-07,Sueldos,gasto,600.0
2025-07-31,2025-07,Servicios Negocio - Alquiler,gasto,2500.0
