Fecha,Moneda,Monto Comprado,Tipo de Cambio (Bs),Total en Bolivianos (Bs),Medio de Pago,Responsable,Observaciones
8/1/2025,PEN  BOB,50,Bs3.00,Bs150.00,Efectivo,Tiffani,
8/1/2025,USD  BOB,50,Bs13.20,Bs660.00,Efectivo,Tiffani,
8/1/2025,USD  BOB,500,Bs13.20,"Bs6,600.00",Efectivo,Tiffani,
8/1/2025,USD  BOB,500,Bs13.20,"Bs6,600.00",Efectivo,Tiffani,
8/1/2025,USD  BOB,10,Bs13.00,Bs130.00,Efectivo,Sergio,billete de 50
8/1/2025,USD  BOB,200,Bs13.20,"Bs2,640.00",Efectivo,Sergio,
8/1/2025,USD  BOB,20,Bs13.20,Bs264.00,Efectivo,Sergio,billete 100
8/1/2025,USD  BOB,100,Bs13.20,"Bs1,320.00",Efectivo,Sergio,
8/1/2025,USD  BOB,100,Bs13.20,"Bs1,320.00",Efectivo,Sergio,
8/2/2025,CLP  BOB,10,Bs12.00,Bs120.00,Efectivo,Tiffani,
8/2/2025,CLP  BOB,4,Bs12.00,Bs48.00,Efectivo,Tiffani,
8/2/2025,USD  BOB,200,Bs13.20,"Bs2,640.00",Efectivo,Tiffani,
8/2/2025,USD  BOB,200,Bs13.20,"Bs2,640.00",Efectivo,Tiffani,
8/2/2025,USD  BOB,100,Bs13.20,"Bs1,320.00",Efectivo,Tiffani,
8/2/2025,USD  BOB,100,Bs13.20,"Bs1,320.00",Efectivo,Tiffani,
8/2/2025,USD  BOB,100,Bs13.20,"Bs1,320.00",Efectivo,Tiffani,
8/2/2025,CLP  BOB,10,Bs12.00,Bs120.00,Efectivo,Sergio,
8/2/2025,USD  BOB,20,Bs12.00,Bs240.00,Efectivo,Sergio,
8/2/2025,USD  BOB,200,Bs13.20,"Bs2,640.00",Efectivo,Sergio,
8/4/2025,EUR  BOB,50,Bs15.00,Bs750.00,Efectivo,Tiffani,
8/4/2025,USD  BOB,300,Bs13.20,"Bs3,960.00",Efectivo,Tiffani,
8/4/2025,USD  BOB,50,Bs13.20,Bs660.00,Efectivo,Tiffani,
8/4/2025,USD  BOB,50,Bs13.20,Bs660.00,Efectivo,Tiffani,
8/4/2025,USD  BOB,100,Bs13.20,"Bs1,320.00",Efectivo,Tiffani,
8/4/2025,CLP  BOB,2,Bs12.00,Bs24.00,Efectivo,Sergio,
8/4/2025,PEN  BOB,10,Bs3.00,Bs30.00,Efectivo,Sergio,
8/4/2025,USD  BOB,10,Bs12.00,Bs120.00,Efectivo,Sergio,
8/4/2025,USD  BOB,1000,Bs13.20,"Bs13,200.00",Efectivo,Sergio,
8/4/2025,USD  BOB,100,Bs13.20,"Bs1,320.00",Efectivo,Sergio,
8/4/2025,USD  BOB,100,Bs13.20,"Bs1,320.00",Efectivo,Sergio,
8/4/2025,USD  BOB,100,Bs13.20,"Bs1,320.00",Efectivo,Sergio,
8/5/2025,CLP  BOB,3,Bs12.00,Bs36.00,Efectivo,Tiffani,
8/5/2025,CLP  BOB,70,Bs12.00,Bs840.00,Efectivo,Sergio,
8/5/2025,USD  BOB,4,Bs10.00,Bs40.00,Efectivo,Sergio,
8/5/2025,USD  BOB,40,Bs12.00,Bs480.00,Efectivo,Sergio,
8/5/2025,USD  BOB,400,Bs13.10,"Bs5,240.00",Efectivo,Sergio,
8/5/2025,USD  BOB,50,Bs13.10,Bs655.00,Efectivo,Sergio,
8/5/2025,USD  BOB,100,Bs13.10,"Bs1,310.00",Efectivo,Sergio,
8/5/2025,USD  BOB,100,Bs13.20,"Bs1,320.00",Efectivo,Sergio,
8/5/2025,USD  BOB,200,Bs13.20,"Bs2,640.00",Efectivo,Sergio,
8/6/2025,USD  BOB,40,Bs12.00,Bs480.00,Efectivo,Tiffani,
8/6/2025,PEN  BOB,150,Bs3.00,Bs450.00,Efectivo,Sergio,
8/6/2025,USD  BOB,500,Bs13.20,"Bs6,600.00",Efectivo,Sergio,
8/7/2025,USD  BOB,50,Bs13.00,Bs650.00,Efectivo,Tiffani,
8/7/2025,USD  BOB,100,Bs13.00,"Bs1,300.00",Efectivo,Tiffani,
8/7/2025,USD  BOB,20,Bs12.00,Bs240.00,Efectivo,Sergio,
8/8/2025,CLP  BOB,20,Bs11.50,Bs230.00,Efectivo,Tiffani,
8/8/2025,EUR  BOB,50,Bs14.30,Bs715.00,Efectivo,Tiffani,
8/8/2025,USD  BOB,20,Bs12.00,Bs240.00,Efectivo,Tiffani,
8/8/2025,USD  BOB,600,Bs12.42,"Bs7,449.60",Efectivo,Tiffani,billetes cbb2
8/8/2025,USD  BOB,200,Bs12.90,"Bs2,580.00",Efectivo,Tiffani,
8/8/2025,USD  BOB,100,Bs12.90,"Bs1,290.00",Efectivo,Tiffani,
8/8/2025,USD  BOB,100,Bs12.90,"Bs1,290.00",Efectivo,Tiffani,
8/8/2025,USD  BOB,100,Bs12.90,"Bs1,290.00",Efectivo,Tiffani,
8/8/2025,USD  BOB,100,Bs12.90,"Bs1,290.00",Efectivo,Tiffani,
8/8/2025,USD  BOB,100,Bs13.00,"Bs1,300.00",Efectivo,Tiffani,
8/8/2025,USD  BOB,100,Bs12.80,"Bs1,280.00",Efectivo,Sergio,
8/8/2025,USD  BOB,100,Bs12.80,"Bs1,280.00",Efectivo,Sergio,
8/8/2025,USD  BOB,300,Bs12.90,"Bs3,870.00",Efectivo,Sergio,
8/8/2025,USD  BOB,100,Bs13.00,"Bs1,300.00",Efectivo,Sergio,
8/9/2025,USD  BOB,100,Bs12.80,"Bs1,280.00",Efectivo,Tiffani,
8/9/2025,USD  BOB,300,Bs12.80,"Bs3,840.00",Efectivo,Tiffani,
8/9/2025,USD  BOB,50,Bs12.80,Bs640.00,Efectivo,Tiffani,
8/9/2025,CLP  BOB,7,Bs11.50,Bs80.50,Efectivo,Sergio,
8/9/2025,CLP  BOB,10,Bs11.50,Bs115.00,Efectivo,Sergio,
8/9/2025,USD  BOB,1,Bs10.00,Bs10.00,Efectivo,Sergio,
8/9/2025,USD  BOB,100,Bs12.80,"Bs1,280.00",Efectivo,Sergio,
8/9/2025,USD  BOB,500,Bs12.80,"Bs6,400.00",Efectivo,Sergio,
8/9/2025,USD  BOB,100,Bs12.80,"Bs1,280.00",Efectivo,Sergio,
8/9/2025,USD  BOB,100,Bs12.80,"Bs1,280.00",Efectivo,Sergio,
8/9/2025,USD  BOB,100,Bs13.00,"Bs1,300.00",Efectivo,Sergio,
8/11/2025,CLP  BOB,200,Bs11.50,"Bs2,300.00",Efectivo,Sergio,
8/11/2025,CLP  BOB,12,Bs11.50,Bs138.00,Efectivo,Sergio,
8/11/2025,EUR  BOB,20,Bs14.30,Bs286.00,Efectivo,Sergio,
8/11/2025,USD  BOB,100,Bs12.90,"Bs1,290.00",Efectivo,Sergio,
