ID,Fecha,Moneda,Monto Comprado,Tipo de Cambio (Bs),Total en Bolivianos (Bs),Medio de Pago,Responsable,Observaciones
1,1/12/25,USD,200,9.00,"1,800.00",Efectivo,Tiffani,
2,2/12/25,USD,200,9.10,"1,820.00",Efectivo,Tiffani,
3,2/12/25,USD,100,9.10,910.00,Efectivo,Tiffani,
4,2/12/25,USD,800,9.30,"7,440.00",Efectivo,Tiffani,
5,2/12/25,USD,200,9.10,"1,820.00",Efectivo,Tiffani,
6,2/12/25,EUR,50,10.30,515.00,Efectivo,Tiffani,
7,2/12/25,EUR,50,10.30,515.00,Efectivo,Tiffani,
8,2/12/25,USD,500,9.10,"4,550.00",Efectivo,Tiffani,
9,3/12/25,USD,200,9.40,"1,880.00",Efectivo,Tiffani,
10,3/12/25,USD,100,9.30,930.00,Efectivo,Tiffani,
11,3/12/25,USD,50,9.30,465.00,Efectivo,Tiffani,
12,3/12/25,CLP,70,9.10,637.00,Efectivo,Tiffani,
13,3/12/25,USD,200,9.40,"1,880.00",Efectivo,Tiffani,
14,3/12/25,USD,300,9.40,"2,820.00",Efectivo,Tiffani,
15,4/12/25,USD,20,8.50,170.00,Efectivo,Tiffani,
16,4/12/25,USD,1000,9.55,"9,550.00",Efectivo,Tiffani,
17,4/12/25,USD,50,9.50,475.00,Efectivo,Tiffani,
18,4/12/25,USD,100,9.50,950.00,Efectivo,Tiffani,
19,4/12/25,USD,100,9.50,950.00,Efectivo,Tiffani,
20,5/12/25,USD,200,9.30,"1,860.00",Efectivo,Tiffani,
21,5/12/25,USD,60,8.30,498.00,Efectivo,Tiffani,
22,5/12/25,USD,50,9.30,465.00,Efectivo,Tiffani,
23,5/12/25,USD,100,9.30,930.00,Efectivo,Tiffani,
24,5/12/25,USD,100,9.30,930.00,Efectivo,Tiffani,1300
25,6/12/25,USD,300,9.40,"2,820.00",Efectivo,Tiffani,
26,8/12/25,USD,100,9.60,960.00,Efectivo,Tiffani,
27,8/12/25,USD,800,9.50,"7,600.00",Efectivo,Tiffani,
28,8/12/25,USD,50,8.60,430.00,Efectivo,Tiffani,
29,8/12/25,USD,100,9.60,960.00,Efectivo,Tiffani,
30,8/12/25,USD,100,9.60,960.00,Efectivo,Tiffani,
31,8/12/25,CLP,20,9.00,180.00,Efectivo,Tiffani,
32,8/12/25,USD,50,9.50,475.00,Efectivo,Tiffani,
33,8/12/25,USD,200,9.60,"1,920.00",Efectivo,Tiffani,
34,8/12/25,USD,100,9.60,960.00,Efectivo,Tiffani,
35,8/12/25,USD,500,9.50,"4,750.00",Efectivo,Tiffani,
36,8/12/25,USD,200,9.50,"1,900.00",Efectivo,Tiffani,
37,9/12/25,USD,100,9.50,950.00,Efectivo,Tiffani,
38,9/12/25,USD,100,9.50,950.00,Efectivo,Tiffani,
39,10/12/25,USD,500,9.60,"4,800.00",Efectivo,Tiffani,
40,11/12/25,USD,100,9.50,950.00,Efectivo,Tiffani,
41,11/12/25,USD,200,9.60,"1,920.00",Efectivo,Tiffani,
42,12/12/25,USD,200,9.50,"1,900.00",Efectivo,Tiffani,
43,12/12/25,USD,4,6.00,24.00,Efectivo,Tiffani,
44,12/12/25,USD,100,9.50,950.00,Efectivo,Tiffani,2250
45,12/12/25,EUR,100,10.20,"1,020.00",Efectivo,Tiffani,
46,12/12/25,USD,300,9.50,"2,850.00",Efectivo,Tiffani,
47,13/12/25,EUR,50,10.00,500.00,Efectivo,Tiffani,
48,13/12/25,USD,300,9.50,"2,850.00",Efectivo,Tiffani,
49,13/12/25,USD,100,9.50,950.00,Efectivo,Tiffani,
50,13/12/25,USD,100,9.40,940.00,Efectivo,Tiffani,
51,15/12/25,CLP,7,9.00,63.00,Efectivo,Tiffani,
52,15/12/25,USD,5,8.00,40.00,Efectivo,Tiffani,
53,15/12/25,USD,200,9.40,"1,880.00",Efectivo,Tiffani,
54,15/12/25,USD,100,9.40,940.00,Efectivo,Tiffani,
55,15/12/25,EUR,50,10.00,500.00,Efectivo,Tiffani,
56,15/12/25,PEN,160,2.20,352.00,Efectivo,Tiffani,
57,15/12/25,USD,100,9.40,940.00,Efectivo,Tiffani,
58,15/12/25,USD,100,9.40,940.00,Efectivo,Tiffani,500
59,16/12/25,PEN,1000,2.20,"2,200.00",Efectivo,Tiffani,
60,16/12/25,PEN,300,2.20,660.00,Efectivo,Tiffani,
61,17/12/25,USD,50,9.50,475.00,Efectivo,Tiffani,
62,17/12/25,USD,100,9.50,950.00,Efectivo,Tiffani,
63,17/12/25,CLP,200,9.10,"1,820.00",Efectivo,Tiffani,
64,17/12/25,USD,300,9.40,"2,820.00",Efectivo,Tiffani,
65,18/12/25,USD,100,10.50,"1,050.00",Efectivo,Tiffani,
66,18/12/25,USD,30,9.90,297.00,Efectivo,Tiffani,
67,18/12/25,USD,100,10.50,"1,050.00",Efectivo,Tiffani,
68,18/12/25,USD,1100,10.70,"11,770.00",Efectivo,Tiffani,
69,18/12/25,USD,100,10.40,"1,040.00",Efectivo,Tiffani,
70,19/12/25,USD,100,10.40,"1,040.00",Efectivo,Tiffani,
71,20/12/25,CLP,10,9.00,90.00,Efectivo,Tiffani,
72,20/12/25,BRL,50,1.20,60.00,Efectivo,Tiffani,
73,20/12/25,CLP,10,9.10,91.00,Efectivo,Tiffani,
74,20/12/25,CLP,100,9.10,910.00,Efectivo,Tiffani,2900
75,22/12/25,CLP,1,9.20,9.20,Efectivo,Tiffani,
76,22/12/25,BRL,100,1.20,120.00,Efectivo,Tiffani,
77,22/12/25,USD,30,8.00,240.00,Efectivo,Tiffani,
78,22/12/25,USD,150,9.40,"1,410.00",Efectivo,Tiffani,
79,22/12/25,PEN,50,2.20,110.00,Efectivo,Tiffani,
80,22/12/25,USD,20,8.00,160.00,Efectivo,Tiffani,
81,23/12/25,EUR,200,10.35,"2,070.00",Efectivo,Tiffani,
82,23/12/25,USD,100,9.50,950.00,Efectivo,Tiffani,
83,23/12/25,USD,100,9.50,950.00,Efectivo,Tiffani,
84,23/12/25,USD,100,9.50,950.00,Efectivo,Tiffani,
85,23/12/25,USD,100,9.50,950.00,Efectivo,Tiffani,
86,23/12/25,USD,300,9.50,"2,850.00",Efectivo,Tiffani,
87,23/12/25,USD,100,9.50,950.00,Efectivo,Tiffani,
88,23/12/25,CLP,200,9.50,"1,900.00",Efectivo,Tiffani,
89,23/12/25,USD,300,9.50,"2,850.00",Efectivo,Tiffani,1400
90,23/12/25,USD,200,9.50,"1,900.00",Efectivo,Tiffani,
91,24/12/25,USD,200,9.50,"1,900.00",Efectivo,Tiffani,
92,24/12/25,USD,200,9.50,"1,900.00",Efectivo,Tiffani,
93,24/12/25,USD,100,9.50,950.00,Efectivo,Tiffani,
94,24/12/25,EUR,25,10.30,257.50,Efectivo,Tiffani,
95,24/12/25,USD,400,9.50,"3,800.00",Efectivo,Tiffani,
96,24/12/25,USD,100,9.50,950.00,Efectivo,Tiffani,
97,24/12/25,EUR,40,10.30,412.00,Efectivo,Tiffani,
98,24/12/25,USD,100,9.50,950.00,Efectivo,Tiffani,
99,27/12/25,CLP,50,9.60,480.00,Efectivo,Tiffani,
100,27/12/25,USD,100,9.50,950.00,Efectivo,Tiffani,
101,29/12/25,USD,100,9.55,955.00,Efectivo,Tiffani,
102,29/12/25,USD,100,9.50,950.00,Efectivo,Tiffani,
103,30/12/25,USD,200,9.60,"1,920.00",Efectivo,Tiffani,3250
104,30/12/25,USD,100,10.00,"1,000.00",Efectivo,Tiffani,
105,30/12/25,CLP,140,9.50,"1,330.00",Efectivo,Tiffani,
106,30/12/25,USD,100,9.50,950.00,Efectivo,Tiffani,
107,30/12/25,CLP,5,9.50,47.50,Efectivo,Tiffani,
108,30/12/25,CLP,20,9.40,188.00,Efectivo,Tiffani,
109,30/12/25,EUR,100,10.30,"1,030.00",Efectivo,Tiffani,
110,30/12/25,USD,100,9.50,950.00,Efectivo,Tiffani,
111,30/12/25,EUR,400,10.30,"4,120.00",Efectivo,Tiffani,
112,30/12/25,CLP,100,9.40,940.00,Efectivo,Tiffani,
113,30/12/25,USD,100,9.50,950.00,Efectivo,Tiffani,
114,31/12/25,PEN,50,2.50,125.00,Efectivo,Tiffani,
115,31/12/25,USD,100,9.60,960.00,Efectivo,Tiffani,
116,31/12/25,CLP,40,9.50,380.00,Efectivo,Tiffani,
117,31/12/25,USD,300,9.60,"2,880.00",Efectivo,Tiffani,
118,31/12/25,USD,100,9.60,960.00,Efectivo,Tiffani,
119,31/12/25,USD,100,9.60,960.00,Efectivo,Tiffani,
120,31/12/25,USD,100,9.60,960.00,Efectivo,Tiffani,
121,31/12/25,USD,100,9.60,960.00,Efectivo,Tiffani,
122,31/12/25,USD,100,9.60,960.00,Efectivo,Tiffani,
123,31/12/25,USD,100,9.60,960.00,Efectivo,Tiffani,
124,31/12/25,CLP,100,9.50,950.00,Efectivo,Tiffani,
125,31/12/25,USD,100,9.60,960.00,Efectivo,Tiffani,
126,1/12/25,ARS,1,5.00,5.00,Efectivo,Sergio,
127,1/12/25,EUR,20,10.20,204.00,Efectivo,Sergio,
128,1/12/25,USD,200,9.00,"1,800.00",Efectivo,Sergio,cbb2
129,1/12/25,CLP,1,9.00,9.00,Efectivo,Sergio,
130,1/12/25,USD,20,9.00,180.00,Efectivo,Sergio,900
131,2/12/25,USD,100,9.30,930.00,Efectivo,Sergio,
132,2/12/25,USD,600,9.30,"5,580.00",Efectivo,Sergio,
133,2/12/25,USD,20,8.00,160.00,Efectivo,Sergio,
134,3/12/25,USD,500,9.40,"4,700.00",Efectivo,Sergio,
135,3/12/25,USD,100,9.30,930.00,Efectivo,Sergio,
136,3/12/25,EUR,50,10.00,500.00,Efectivo,Sergio,
137,3/12/25,USD,100,9.40,940.00,Efectivo,Sergio,
138,3/12/25,USD,200,9.40,"1,880.00",Efectivo,Sergio,
139,3/12/25,USD,50,9.00,450.00,Efectivo,Sergio,roto
140,3/12/25,USD,100,9.30,930.00,Efectivo,Sergio,
141,3/12/25,CLP,10,9.10,91.00,Efectivo,Sergio,900
142,4/12/25,USD,100,9.50,950.00,Efectivo,Sergio,550
143,5/12/25,PEN,10,2.00,20.00,Efectivo,Sergio,
144,5/12/25,USD,10,8.00,80.00,Efectivo,Sergio,
145,5/12/25,USD,100,9.30,930.00,Efectivo,Sergio,
146,5/12/25,USD,100,9.30,930.00,Efectivo,Sergio,
147,5/12/25,BRL,2,1.30,2.60,Efectivo,Sergio,
148,5/12/25,CLP,5,9.00,45.00,Efectivo,Sergio,
149,5/12/25,USD,100,9.30,930.00,Efectivo,Sergio,
150,5/12/25,USD,150,9.30,"1,395.00",Efectivo,Sergio,
151,5/12/25,PEN,210,2.10,441.00,Efectivo,Sergio,
152,5/12/25,USD,100,9.30,930.00,Efectivo,Sergio,
153,6/12/25,USD,200,9.50,"1,900.00",Efectivo,Sergio,
154,6/12/25,USD,1000,9.50,"9,500.00",Efectivo,Sergio,
155,6/12/25,USD,100,9.40,940.00,Efectivo,Sergio,
156,6/12/25,USD,100,9.50,950.00,Efectivo,Sergio,2150
157,8/12/25,USD,500,9.65,"4,825.00",Efectivo,Sergio,
158,8/12/25,USD,100,9.60,960.00,Efectivo,Sergio,
159,8/12/25,USD,100,9.60,960.00,Efectivo,Sergio,
160,8/12/25,USD,100,9.60,960.00,Efectivo,Sergio,
161,8/12/25,USD,200,9.60,"1,920.00",Efectivo,Sergio,3800
162,9/12/25,USD,10,8.00,80.00,Efectivo,Sergio,
163,9/12/25,USD,200,9.60,"1,920.00",Efectivo,Sergio,
164,9/12/25,USD,100,9.50,950.00,Efectivo,Sergio,
165,9/12/25,USD,2500,9.50,"23,750.00",Efectivo,Sergio,
166,9/12/25,USD,50,9.50,475.00,Efectivo,Sergio,
167,9/12/25,USD,200,9.50,"1,900.00",Efectivo,Sergio,
168,9/12/25,USD,1,7.00,7.00,Efectivo,Sergio,
169,9/12/25,CLP,8,9.30,74.40,Efectivo,Sergio,5200
170,10/12/25,USD,20,8.00,160.00,Efectivo,Sergio,
171,10/12/25,CLP,6,9.00,54.00,Efectivo,Sergio,
172,10/12/25,CLP,102,9.00,918.00,Efectivo,Sergio,
173,10/12/25,USD,100,9.60,960.00,Efectivo,Sergio,
174,10/12/25,USD,1000,9.60,"9,600.00",Efectivo,Sergio,
175,10/12/25,CLP,30,9.30,279.00,Efectivo,Sergio,
176,10/12/25,USD,100,9.50,950.00,Efectivo,Sergio,2300
177,11/12/25,EUR,2000,10.30,"20,600.00",Efectivo,Sergio,
178,11/12/25,USD,100,9.50,950.00,Efectivo,Sergio,
179,11/12/25,USD,100,9.60,960.00,Efectivo,Sergio,
180,11/12/25,USD,200,9.50,"1,900.00",Efectivo,Sergio,
181,11/12/25,USD,100,8.00,800.00,Efectivo,Sergio,
182,11/12/25,USD,100,9.60,960.00,Efectivo,Sergio,
183,11/12/25,USD,100,9.60,960.00,Efectivo,Sergio,
184,11/12/25,USD,100,9.60,960.00,Efectivo,Sergio,
185,11/12/25,EUR,800,10.30,"8,240.00",Efectivo,Sergio,
186,11/12/25,USD,600,9.60,"5,760.00",Efectivo,Sergio,1600
187,12/12/25,USD,100,9.50,950.00,Efectivo,Sergio,
188,12/12/25,USD,100,9.50,950.00,Efectivo,Sergio,
189,12/12/25,USD,50,9.50,475.00,Efectivo,Sergio,
190,12/12/25,EUR,10,10.30,103.00,Efectivo,Sergio,
191,12/12/25,USD,50,9.50,475.00,Efectivo,Sergio,
192,12/12/25,USD,100,9.50,950.00,Efectivo,Sergio,
193,12/12/25,USD,100,9.50,950.00,Efectivo,Sergio,
194,12/12/25,USD,200,9.50,"1,900.00",Efectivo,Sergio,
195,13/12/25,EUR,100,10.00,"1,000.00",Efectivo,Sergio,
196,13/12/25,ARS,25,4.00,100.00,Efectivo,Sergio,
197,13/12/25,USD,40,8.00,320.00,Efectivo,Sergio,
198,13/12/25,USD,20,8.00,160.00,Efectivo,Sergio,
199,13/12/25,USD,100,9.40,940.00,Efectivo,Sergio,2950
200,15/12/25,USD,100,9.40,940.00,Efectivo,Sergio,
201,15/12/25,USD,100,9.35,935.00,Efectivo,Sergio,
202,15/12/25,USD,100,9.35,935.00,Efectivo,Sergio,
