Fecha,Moneda,Monto Comprado,Tipo de Cambio (Bs),Total en Bolivianos (Bs),Medio de Pago,Responsable,Observaciones
6/23/2025,ARS,13,Bs15.80,Bs205.40,Efectivo,Tiffani,Bs. 104
6/23/2025,USD,100,Bs15.80,"Bs1,580.00",Efectivo,Tiffani,
6/23/2025,EUR,50,Bs15.80,Bs790.00,Efectivo,Sergio,
6/23/2025,USD,100,Bs15.80,"Bs1,580.00",Efectivo,Sergio,
6/23/2025,USD,100,Bs15.80,"Bs1,580.00",Efectivo,Sergio,
6/23/2025,USD,100,Bs15.80,"Bs1,580.00",Efectivo,Sergio,
6/23/2025,USD,50,Bs15.80,Bs790.00,Efectivo,Sergio,
6/23/2025,USD,500,Bs15.80,"Bs7,900.00",Efectivo,Sergio,
6/23/2025,USD,50,Bs15.80,Bs790.00,Efectivo,Sergio,
6/23/2025,USD,100,Bs15.80,"Bs1,580.00",Efectivo,Sergio,
6/23/2025,USD,200,Bs15.80,"Bs3,160.00",Efectivo,Sergio,
6/23/2025,USD,50,Bs15.80,Bs790.00,Efectivo,Sergio,
6/23/2025,USD,300,Bs15.80,"Bs4,740.00",Efectivo,Sergio,
6/23/2025,USD,50,Bs15.80,Bs790.00,Efectivo,Sergio,
6/24/2025,BRL,50,Bs15.80,Bs790.00,Efectivo,Tiffani,
6/24/2025,USD,150,Bs15.80,"Bs2,370.00",Efectivo,Tiffani,
6/24/2025,USD,400,Bs15.80,"Bs6,320.00",Efectivo,Tiffani,
6/24/2025,USD,1,Bs10.00,Bs10.00,Efectivo,Tiffani,
6/24/2025,USD,100,Bs15.80,"Bs1,580.00",Efectivo,Tiffani,
6/24/2025,USD,100,Bs15.80,"Bs1,580.00",Efectivo,Tiffani,
6/24/2025,USD,100,Bs15.80,"Bs1,580.00",Efectivo,Tiffani,
6/24/2025,USD,190,Bs15.80,"Bs3,002.00",Efectivo,Tiffani,
6/24/2025,CLP ,7,Bs15.00,Bs105.00,QR,Sergio,
6/24/2025,PEN ,130,Bs3.50,Bs455.00,QR,Sergio,
6/24/2025,USD,100,Bs15.80,"Bs1,580.00",Efectivo,Sergio,
6/24/2025,USD,210,Bs15.80,"Bs3,318.00",QR,Sergio,
6/26/2025,USD,100,Bs15.70,"Bs1,570.00",Efectivo,Tiffani,
6/26/2025,USD,200,Bs15.70,"Bs3,140.00",Efectivo,Tiffani,
6/26/2025,USD,100,Bs15.70,"Bs1,570.00",Efectivo,Tiffani,
6/26/2025,EUR,20,Bs17.00,Bs340.00,Efectivo,Sergio,
6/26/2025,USD,50,Bs15.80,Bs790.00,Efectivo,Sergio,
6/26/2025,USD,200,Bs15.70,"Bs3,140.00",Efectivo,Sergio,
6/26/2025,USD,100,Bs15.70,"Bs1,570.00",Efectivo,Sergio,
6/26/2025,USD,200,Bs15.80,"Bs3,160.00",Efectivo,Sergio,
6/27/2025,CLP ,50,Bs15.00,Bs750.00,Efectivo,Sergio,
6/27/2025,USD,50,Bs15.60,Bs780.00,Efectivo,Sergio,
6/27/2025,USD,50,Bs15.60,Bs780.00,Efectivo,Sergio,
6/27/2025,USD,200,Bs15.60,"Bs3,120.00",Efectivo,Sergio,
6/27/2025,USD,50,Bs15.60,Bs780.00,Efectivo,Sergio,
6/28/2025,EUR,50,Bs17.50,Bs875.00,Efectivo,Tiffani,
6/28/2025,USD,200,Bs15.40,"Bs3,080.00",Efectivo,Tiffani,
6/28/2025,USD,100,Bs15.40,"Bs1,540.00",Efectivo,Tiffani,
6/28/2025,USD,50,Bs15.40,Bs770.00,Efectivo,Tiffani,
6/28/2025,USD,100,Bs15.40,"Bs1,540.00",Efectivo,Tiffani,
6/28/2025,USD,500,Bs15.40,"Bs7,700.00",Efectivo,Sergio,
7/2/2025,USD,100,Bs13.00,"Bs1,300.00",Efectivo,Tiffani,
7/2/2025,USD,150,Bs13.00,"Bs1,950.00",Efectivo,Tiffani,
7/2/2025,USD,50,Bs13.00,Bs650.00,Efectivo,Tiffani,
7/2/2025,USD,200,Bs13.50,"Bs2,700.00",Efectivo,Tiffani,
7/2/2025,USD,100,Bs13.50,"Bs1,350.00",Efectivo,Tiffani,
7/2/2025,USD,100,Bs13.50,"Bs1,350.00",Efectivo,Tiffani,
7/2/2025,USD,50,Bs13.50,Bs675.00,Efectivo,Tiffani,
7/2/2025,USD,3000,Bs13.60,"Bs40,800.00",Efectivo,Sergio,
7/3/2025,EUR,415,Bs14.80,"Bs6,142.00",Efectivo,Tiffani,
7/3/2025,EUR,500,Bs14.80,"Bs7,400.00",Efectivo,Tiffani,
7/3/2025,USD,100,Bs14.00,"Bs1,400.00",Efectivo,Tiffani,
7/3/2025,USD,500,Bs14.00,"Bs7,000.00",Efectivo,Tiffani,
7/3/2025,USD,100,Bs14.00,"Bs1,400.00",Efectivo,Tiffani,
7/3/2025,USD,100,Bs14.00,"Bs1,400.00",Efectivo,Tiffani,
7/3/2025,USD,200,Bs14.00,"Bs2,800.00",Efectivo,Tiffani,
7/3/2025,USD,100,Bs14.00,"Bs1,400.00",Efectivo,Tiffani,
7/3/2025,USD,700,Bs14.00,"Bs9,800.00",Efectivo,Tiffani,
7/3/2025,USD,100,Bs14.00,"Bs1,400.00",Efectivo,Tiffani,
7/3/2025,USD,100,Bs14.00,"Bs1,400.00",Efectivo,Tiffani,
7/3/2025,USD,60,Bs12.00,Bs720.00,Efectivo,Tiffani,
7/3/2025,EUR,5,Bs14.80,Bs74.00,Efectivo,Sergio,
7/4/2025,USD,300,Bs14.20,"Bs4,260.00",Efectivo,Tiffani,
7/4/2025,USD,200,Bs14.20,"Bs2,840.00",Efectivo,Tiffani,
7/4/2025,USD,50,Bs14.20,Bs710.00,Efectivo,Tiffani,
7/4/2025,ARS,1,Bs8.00,Bs8.00,Efectivo,Sergio,
7/4/2025,CLP ,30,Bs13.50,Bs405.00,Efectivo,Sergio,
7/4/2025,PEN ,20,Bs2.90,Bs58.00,Efectivo,Sergio,
7/4/2025,USD,100,Bs14.20,"Bs1,420.00",Efectivo,Sergio,
7/4/2025,USD,100,Bs14.20,"Bs1,420.00",Efectivo,Sergio,
7/4/2025,USD,1586,Bs14.00,"Bs22,204.00",Efectivo,Sergio,
7/4/2025,USD,1837,Bs14.20,"Bs26,085.40",Efectivo,Sergio,
7/5/2025,USD,100,Bs14.20,"Bs1,420.00",Efectivo,Tiffani,
