ID,Fecha,Moneda,Monto Comprado,Tipo de Cambio (Bs),Total en Bolivianos (Bs),Medio de Pago,Responsable,Observaciones
1,1/11/25,USD,100,10.30,"1,030.00",Efectivo,Tiffani,
2,1/11/25,USD,50,10.30,515.00,Efectivo,Tiffani,
3,1/11/25,USD,50,10.30,515.00,Efectivo,Tiffani,13900
4,3/11/25,USD,50,10.40,520.00,Efectivo,Tiffani,
5,3/11/25,EUR,20,11.00,220.00,Efectivo,Tiffani,
6,3/11/25,EUR,100,11.00,"1,100.00",Efectivo,Tiffani,12000
7,4/11/25,USD,4000,10.80,"43,200.00",Efectivo,Tiffani,
8,4/11/25,USD,50,10.50,525.00,Efectivo,Tiffani,
9,4/11/25,USD,200,10.50,"2,100.00",Efectivo,Tiffani,
10,4/11/25,CLP,54,9.00,486.00,Efectivo,Tiffani,
11,4/11/25,USD,50,10.50,525.00,Efectivo,Tiffani,16150
12,5/11/25,USD,200,10.50,"2,100.00",Efectivo,Tiffani,
13,6/11/25,USD,5,10.00,50.00,Efectivo,Tiffani,
14,6/11/25,CLP,24,9.00,216.00,Efectivo,Tiffani,
15,6/11/25,USD,20,10.00,200.00,Efectivo,Tiffani,7250
16,6/11/25,CLP,20,9.00,180.00,Efectivo,Tiffani,
17,6/11/25,USD,450,10.00,"4,500.00",Efectivo,Tiffani,
18,6/11/25,PEN,10,2.50,25.00,Efectivo,Tiffani,
19,6/11/25,PEN,10,2.00,20.00,Efectivo,Tiffani,
20,6/11/25,USD,1000,10.00,"10,000.00",Efectivo,Tiffani,
21,6/11/25,USD,40,2.40,96.00,Efectivo,Tiffani,
22,6/11/25,CLP,20,8.90,178.00,Efectivo,Tiffani,
23,6/11/25,EUR,180,10.50,"1,890.00",Efectivo,Tiffani,
24,6/11/25,CLP,40,9.00,360.00,Efectivo,Tiffani,
25,8/11/25,EUR,50,10.30,515.00,Efectivo,Tiffani,
26,8/11/25,EUR,50,10.30,515.00,Efectivo,Tiffani,
27,10/11/25,USD,200,10.00,"2,000.00",Efectivo,Tiffani,
28,10/11/25,CLP,24,8.90,213.60,Efectivo,Tiffani,
29,10/11/25,USD,200,9.50,"1,900.00",Efectivo,Tiffani,
30,10/11/25,CLP,47,8.90,418.30,Efectivo,Tiffani,
31,11/11/25,USD,5,8.00,40.00,Efectivo,Tiffani,
32,11/11/25,USD,200,9.00,"1,800.00",Efectivo,Tiffani,
33,11/11/25,CLP,20,8.00,160.00,Efectivo,Tiffani,
34,12/11/25,CLP,40,8.00,320.00,Efectivo,Tiffani,
35,12/11/25,USD,100,9.00,900.00,Efectivo,Tiffani,
36,12/11/25,USD,100,9.00,900.00,Efectivo,Tiffani,
37,13/11/25,BRL,300,1.20,360.00,Efectivo,Tiffani,
38,13/11/25,USD,100,9.50,950.00,Efectivo,Tiffani,
39,14/11/25,USD,1400,9.80,"13,720.00",Efectivo,Tiffani,
40,14/11/25,CLP,18,8.00,144.00,Efectivo,Tiffani,
41,15/11/25,USD,100,9.50,950.00,Efectivo,Tiffani,
42,15/11/25,USD,20,9.00,180.00,Efectivo,Tiffani,
43,15/11/25,USD,200,9.50,"1,900.00",Efectivo,Tiffani,
44,15/11/25,USD,200,9.50,"1,900.00",Efectivo,Tiffani,
45,15/11/25,USD,100,9.50,950.00,Efectivo,Tiffani,
46,15/11/25,USD,20,9.00,180.00,Efectivo,Tiffani,
47,15/11/25,PEN,10,2.00,20.00,Efectivo,Tiffani,
48,17/11/25,USD,100,10.00,"1,000.00",Efectivo,Tiffani,
49,17/11/25,USD,300,10.00,"3,000.00",Efectivo,Tiffani,
50,17/11/25,CLP,40,8.50,340.00,Efectivo,Tiffani,
51,17/11/25,USD,100,10.00,"1,000.00",Efectivo,Tiffani,
52,17/11/25,USD,100,10.00,"1,000.00",Efectivo,Tiffani,
