ID,Fecha,Moneda,Monto Comprado,Tipo de Cambio (Bs),Total en Bolivianos (Bs),Medio de Pago,Responsable,Observaciones
1,1/10/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
2,1/10/25,USD,100,12.20,"1,220.00",Efectivo,Tiffani,
3,1/10/25,EUR,110,13.80,"1,518.00",Efectivo,Tiffani,
4,1/10/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
5,1/10/25,PEN,5,2.50,12.50,Efectivo,Tiffani,
6,1/10/25,USD,700,12.20,"8,540.00",Efectivo,Tiffani,
7,1/10/25,CLP,10,10.50,105.00,Efectivo,Tiffani,
8,1/10/25,USD,100,12.20,"1,220.00",Efectivo,Tiffani,
9,1/10/25,USD,20,10.00,200.00,Efectivo,Tiffani,
10,1/10/25,USD,10,10.50,105.00,Efectivo,Tiffani,
11,1/10/25,CLP,22,10.50,231.00,Efectivo,Tiffani,
12,1/10/25,CLP,22,10.50,231.00,Efectivo,Tiffani,
13,2/10/25,USD,100,12.20,"1,220.00",Efectivo,Tiffani,
14,2/10/25,USD,50,12.20,610.00,Efectivo,Tiffani,
15,2/10/25,USD,21,10.50,220.50,Efectivo,Tiffani,
16,3/10/25,USD,100,12.20,"1,220.00",QR,Tiffani,
17,3/10/25,EUR,50,13.50,675.00,Efectivo,Tiffani,
18,3/10/25,PEN,100,3.00,300.00,Efectivo,Tiffani,
19,4/10/25,USD,100,12.00,"1,200.00",Efectivo,Tiffani,
20,4/10/25,USD,20,10.00,200.00,Efectivo,Tiffani,
21,4/10/25,USD,1000,12.00,"12,000.00",Efectivo,Tiffani,
22,4/10/25,USD,8,10.00,80.00,Efectivo,Tiffani,
23,4/10/25,USD,100,12.00,"1,200.00",Efectivo,Tiffani,
24,4/10/25,USD,100,12.00,"1,200.00",Efectivo,Tiffani,10250
25,6/10/25,CLP,3,10.00,30.00,Efectivo,Tiffani,
26,6/10/25,USD,1000,12.00,"12,000.00",Efectivo,Tiffani,
27,6/10/25,USD,100,12.00,"1,200.00",Efectivo,Tiffani,
28,6/10/25,USD,100,12.00,"1,200.00",Efectivo,Tiffani,
29,6/10/25,USD,100,12.00,"1,200.00",Efectivo,Tiffani,
30,6/10/25,CLP,21,10.00,210.00,Efectivo,Tiffani,11900
31,7/10/25,USD,1800,12.00,"21,600.00",Efectivo,Tiffani,
32,7/10/25,EUR,50,13.20,660.00,Efectivo,Tiffani,12350
33,8/10/25,PEN,100,3.00,300.00,Efectivo,Tiffani,
34,8/10/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,4600
