ID,Fecha,Moneda,Monto Comprado,Tipo de Cambio (Bs),Total en Bolivianos (Bs),Medio de Pago,Responsable,Observaciones
1,1/9/25,USD,100,11.30,"1,130.00",Efectivo,Tiffani,
2,1/9/25,USD,100,11.30,"1,130.00",Efectivo,Tiffani,
3,1/9/25,USD,200,11.30,"2,260.00",Efectivo,Tiffani,
4,1/9/25,USD,50,11.20,560.00,Efectivo,Tiffani,
5,2/9/25,USD,100,10.50,"1,050.00",Efectivo,Tiffani,
6,2/9/25,USD,100,10.20,"1,020.00",Efectivo,Tiffani,
7,3/9/25,BRL,10,1.60,16.00,Efectivo,Tiffani,
8,3/9/25,USD,100,10.40,"1,040.00",Efectivo,Tiffani,
9,3/9/25,USD,100,10.50,"1,050.00",Efectivo,Tiffani,
10,3/9/25,USD,400,10.30,"4,120.00",Efectivo,Tiffani,
11,3/9/25,USD,2000,10.20,"20,400.00",Efectivo,Tiffani,30 menos por rotura de uno
12,3/9/25,USD,100,10.20,"1,020.00",Efectivo,Tiffani,
13,4/9/25,USD,100,11.00,"1,100.00",Efectivo,Tiffani,
14,4/9/25,USD,100,11.00,"1,100.00",Efectivo,Tiffani,
15,4/9/25,USD,200,12.20,"2,440.00",Efectivo,Tiffani,
16,4/9/25,USD,20,11.50,230.00,Efectivo,Tiffani,
17,5/9/25,USD,100,12.20,"1,220.00",Efectivo,Tiffani,
18,5/9/25,USD,100,12.00,"1,200.00",Efectivo,Tiffani,
19,5/9/25,CLP,5,10.00,50.00,Efectivo,Tiffani,
20,5/9/25,USD,50,12.00,600.00,Efectivo,Tiffani,
21,6/9/25,USD,5,10.00,50.00,Efectivo,Tiffani,
22,6/9/25,USD,100,12.00,"1,200.00",Efectivo,Tiffani,
23,8/9/25,USD,100,12.00,"1,200.00",Efectivo,Tiffani,
24,8/9/25,EUR,250,13.30,"3,325.00",Efectivo,Tiffani,
25,8/9/25,USD,100,12.00,"1,200.00",Efectivo,Tiffani,
26,9/9/25,USD,200,12.00,"2,400.00",Efectivo,Tiffani,
27,9/9/25,USD,200,12.00,"2,400.00",Efectivo,Tiffani,
28,9/9/25,USD,50,12.00,600.00,Efectivo,Tiffani,
29,9/9/25,PEN,10,2.70,27.00,Efectivo,Tiffani,
30,9/9/25,USD,100,12.10,"1,210.00",Efectivo,Tiffani,
31,10/9/25,USD,100,12.20,"1,220.00",Efectivo,Tiffani,
32,10/9/25,EUR,10,13.50,135.00,Efectivo,Tiffani,
33,11/9/25,USD,40,11.00,440.00,Efectivo,Tiffani,
34,11/9/25,USD,2,10.00,20.00,Efectivo,Tiffani,
35,11/9/25,USD,25,11.00,275.00,Efectivo,Tiffani,
36,11/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
37,11/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
38,11/9/25,EUR,50,14.00,700.00,Efectivo,Tiffani,
39,11/9/25,USD,200,12.30,"2,460.00",Efectivo,Tiffani,
40,12/9/25,USD,100,12.20,"1,220.00",Efectivo,Tiffani,
41,12/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
42,12/9/25,USD,100,12.50,"1,250.00",Efectivo,Tiffani,
43,12/9/25,USD,100,12.50,"1,250.00",Efectivo,Tiffani,
44,13/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
45,13/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
46,13/9/25,USD,100,12.40,"1,240.00",Efectivo,Tiffani,
47,13/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
48,13/9/25,EUR,50,14.20,710.00,Efectivo,Tiffani,
49,13/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
50,13/9/25,USD,50,12.30,615.00,Efectivo,Tiffani,
51,13/9/25,USD,50,12.30,615.00,Efectivo,Tiffani,
52,15/9/25,USD,17,11.00,187.00,Efectivo,Tiffani,
53,15/9/25,USD,10,11.00,110.00,Efectivo,Tiffani,
54,15/9/25,USD,500,12.40,"6,200.00",Efectivo,Tiffani,
55,15/9/25,USD,20,11.00,220.00,Efectivo,Tiffani,
56,15/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
57,15/9/25,EUR,50,14.00,700.00,Efectivo,Tiffani,
58,16/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
59,16/9/25,BRL,28,1.70,47.60,Efectivo,Tiffani,
60,16/9/25,USD,600,12.40,"7,440.00",Efectivo,Tiffani,
61,16/9/25,PEN,50,2.80,140.00,Efectivo,Tiffani,
62,16/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
63,16/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
64,16/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
65,17/9/25,USD,200,12.30,"2,460.00",Efectivo,Tiffani,
66,17/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
67,17/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
68,17/9/25,USD,200,12.30,"2,460.00",Efectivo,Tiffani,
69,17/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
70,17/9/25,USD,50,12.30,615.00,Efectivo,Tiffani,
71,17/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
72,17/9/25,USD,100,12.40,"1,240.00",Efectivo,Tiffani,
73,17/9/25,USD,50,12.30,615.00,Efectivo,Tiffani,
74,17/9/25,USD,100,12.40,"1,240.00",Efectivo,Tiffani,
75,17/9/25,USD,200,12.30,"2,460.00",Efectivo,Tiffani,
76,17/9/25,USD,3000,12.30,"36,900.00",Efectivo,Tiffani,
77,18/9/25,USD,100,12.20,"1,220.00",Efectivo,Tiffani,
78,18/9/25,EUR,50,13.30,665.00,Efectivo,Tiffani,
79,18/9/25,USD,100,12.20,"1,220.00",Efectivo,Tiffani,
80,19/9/25,USD,2500,12.30,"30,750.00",Efectivo,Tiffani,
81,19/9/25,USD,100,12.20,"1,220.00",Efectivo,Tiffani,
82,19/9/25,ARS,20,4.00,80.00,Efectivo,Tiffani,
83,20/9/25,USD,600,12.10,"7,260.00",Efectivo,Tiffani,
84,20/9/25,USD,100,12.20,"1,220.00",Efectivo,Tiffani,
85,22/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
86,22/9/25,USD,900,12.40,"11,160.00",Efectivo,Tiffani,
87,23/9/25,USD,100,12.20,"1,220.00",Efectivo,Tiffani,
88,23/9/25,USD,3,10.00,30.00,Efectivo,Tiffani,
89,23/9/25,USD,200,12.30,"2,460.00",Efectivo,Tiffani,
90,23/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
91,24/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
92,24/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
93,24/9/25,USD,50,12.30,615.00,Efectivo,Tiffani,
94,24/9/25,USD,2,10.00,20.00,Efectivo,Tiffani,
95,24/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
96,24/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
97,24/9/25,USD,10,10.00,100.00,Efectivo,Tiffani,
98,24/9/25,EUR,50,14.00,700.00,Efectivo,Tiffani,
99,25/9/25,CLP,10,10.00,100.00,Efectivo,Tiffani,
100,25/9/25,CLP,3,10.00,30.00,Efectivo,Tiffani,
101,25/9/25,PEN,200,3.00,600.00,Efectivo,Tiffani,
102,25/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
103,25/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
104,25/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
105,25/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
106,25/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
107,25/9/25,USD,15,10.00,150.00,Efectivo,Tiffani,
108,25/9/25,USD,2,9.50,19.00,Efectivo,Tiffani,
109,26/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
110,26/9/25,USD,15,10.50,157.50,Efectivo,Tiffani,
111,26/9/25,USD,20,12.30,246.00,Efectivo,Tiffani,billete de 50
112,27/9/25,USD,200,12.30,"2,460.00",Efectivo,Tiffani,
113,27/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
114,27/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
115,27/9/25,USD,50,12.30,615.00,Efectivo,Tiffani,
116,27/9/25,PEN,10,2.50,25.00,Efectivo,Tiffani,monedas
117,27/9/25,CLP,20,10.50,210.00,Efectivo,Tiffani,
118,27/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
119,27/9/25,USD,10,10.50,105.00,Efectivo,Tiffani,
120,27/9/25,USD,50,12.30,615.00,Efectivo,Tiffani,
121,29/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
122,29/9/25,USD,10,10.50,105.00,Efectivo,Tiffani,
123,29/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
124,29/9/25,CLP,4,10.50,42.00,Efectivo,Tiffani,
125,29/9/25,USD,200,12.30,"2,460.00",Efectivo,Tiffani,
126,29/9/25,USD,500,12.30,"6,150.00",Efectivo,Tiffani,
127,30/9/25,EUR,100,13.90,"1,390.00",Efectivo,Tiffani,
128,30/9/25,USD,50,12.20,610.00,Efectivo,Tiffani,
129,30/9/25,USD,200,12.40,"2,480.00",Efectivo,Tiffani,
130,30/9/25,USD,900,12.30,"11,070.00",Efectivo,Tiffani,
131,30/9/25,USD,100,12.30,"1,230.00",Efectivo,Tiffani,
132,1/9/25,CLP,2,10.00,20.00,Efectivo,Sergio,
133,1/9/25,USD,100,11.30,"1,130.00",Efectivo,Sergio,
134,1/9/25,USD,100,11.20,"1,120.00",Efectivo,Sergio,
135,1/9/25,USD,10,10.50,105.00,Efectivo,Sergio,
136,1/9/25,USD,300,11.20,"3,360.00",Efectivo,Sergio,
137,2/9/25,USD,50,10.50,525.00,Efectivo,Sergio,
138,2/9/25,USD,900,10.50,"9,450.00",Efectivo,Sergio,
139,2/9/25,PEN,50,2.60,130.00,Efectivo,Sergio,
140,2/9/25,USD,2800,10.50,"29,400.00",Efectivo,Sergio,
141,3/9/25,USD,2000,10.60,"21,200.00",Efectivo,Sergio,
142,3/9/25,USD,100,10.50,"1,050.00",Efectivo,Sergio,
143,3/9/25,CLP,10,10.00,100.00,Efectivo,Sergio,
144,3/9/25,USD,1,8.00,8.00,Efectivo,Sergio,
145,4/9/25,USD,500,11.00,"5,500.00",QR,Sergio,
146,4/9/25,USD,100,11.00,"1,100.00",Efectivo,Sergio,
147,5/9/25,USD,150,12.20,"1,830.00",Efectivo,Sergio,
148,5/9/25,USD,7,9.00,63.00,Efectivo,Sergio,
149,5/9/25,USD,1,5.00,5.00,Efectivo,Sergio,
150,5/9/25,USD,100,12.00,"1,200.00",Efectivo,Sergio,
151,5/9/25,USD,100,12.00,"1,200.00",Efectivo,Sergio,
152,5/9/25,USD,20,10.00,200.00,Efectivo,Sergio,
153,6/9/25,EUR,80,13.00,"1,040.00",Efectivo,Sergio,
154,6/9/25,USD,100,12.20,"1,220.00",Efectivo,Sergio,
155,6/9/25,USD,100,12.00,"1,200.00",Efectivo,Sergio,
156,6/9/25,USD,800,12.00,"9,600.00",Efectivo,Sergio,
157,6/9/25,USD,20,11.00,220.00,Efectivo,Sergio,
158,8/9/25,USD,50,12.00,600.00,Efectivo,Sergio,
159,8/9/25,USD,200,12.00,"2,400.00",Efectivo,Sergio,
160,8/9/25,USD,100,12.00,"1,200.00",Efectivo,Sergio,
161,8/9/25,USD,50,12.00,600.00,Efectivo,Sergio,
162,8/9/25,USD,300,12.00,"3,600.00",Efectivo,Sergio,
163,8/9/25,USD,100,12.00,"1,200.00",Efectivo,Sergio,
164,8/9/25,USD,1,8.00,8.00,Efectivo,Sergio,
165,9/9/25,USD,100,12.00,"1,200.00",Efectivo,Sergio,
166,9/9/25,USD,200,12.00,"2,400.00",Efectivo,Sergio,
