ID,Fecha,Moneda,Monto Vendido,Tipo de Cambio (Bs),Total en Bolivianos (Bs),Medio de Pago,Responsable,Observaciones
1,1/12/25,USD,30.00,10.20,306.00,QR,Tiffani,
2,2/12/25,USD,500.00,9.80,"4,900.00",Efectivo,Tiffani,
3,2/12/25,USD,100.00,9.80,980.00,Efectivo,Tiffani,
4,3/12/25,USD,100.00,9.90,990.00,Efectivo,Tiffani,
5,3/12/25,USD,"1,000.00",9.80,"9,800.00",Efectivo,Tiffani,
6,3/12/25,CLP ,100.00,11.10,"1,110.00",Efectivo,Tiffani,
7,3/12/25,USD,200.00,9.90,"1,980.00",Efectivo,Tiffani,
8,4/12/25,USD,700.00,10.20,"7,140.00",Efectivo,Tiffani,
9,6/12/25,USD,50.00,10.00,500.00,Efectivo,Tiffani,
10,6/12/25,USD,600.00,10.00,"6,000.00",QR,Tiffani,
11,6/12/25,USD,200.00,10.00,"2,000.00",Efectivo,Tiffani,
12,8/12/25,EUR,300.00,11.30,"3,390.00",Efectivo,Tiffani,
13,8/12/25,USD,2.00,25.00,50.00,Efectivo,Tiffani,
14,9/12/25,USD,"1,000.00",10.00,"10,000.00",Efectivo,Tiffani,
15,9/12/25,USD,"1,000.00",10.00,"10,000.00",Efectivo,Tiffani,
16,9/12/25,USD,160.00,10.00,"1,600.00",Efectivo,Tiffani,
17,9/12/25,USD,200.00,10.00,"2,000.00",Efectivo,Tiffani,
18,15/12/25,USD,"2,000.00",9.90,"19,800.00",Efectivo,Tiffani,
19,15/12/25,USD,350.00,9.90,"3,465.00",Efectivo,Tiffani,
20,15/12/25,USD,"1,000.00",9.90,"9,900.00",Efectivo,Tiffani,
21,16/12/25,USD,100.00,9.90,990.00,Efectivo,Tiffani,
22,17/12/25,USD,181.00,9.90,"1,791.90",Efectivo,Tiffani,
23,18/12/25,USD,"3,000.00",11.85,"35,550.00",Efectivo,Tiffani,
24,18/12/25,USD,"3,000.00",11.30,"33,900.00",Efectivo,Tiffani,
25,18/12/25,USD,"5,000.00",11.90,"59,500.00",Efectivo,Tiffani,
26,18/12/25,USD,45.00,12.00,540.00,Efectivo,Tiffani,
