Fecha,Moneda,Monto Vendido,Tipo de Cambio (Bs),Total en Bolivianos (Bs),Medio de Pago,Responsable,Observaciones
6/23/2025,USD,60,16.3,978,Efectivo,Sergio,
6/25/2025,USD,10000,16.17,161700,Efectivo,Sergio,
6/27/2025,PEN ,50,4.9,245,Efectivo,Sergio,
7/2/2025,USD,900,15,13500,QR,Sergio,
7/2/2025,USD,5200,15,78000,Efectivo,Sergio,
7/2/2025,USD,200,15,3000,Efectivo,Sergio,
7/3/2025,USD,200,15.5,3100,Efectivo,Sergio,
7/3/2025,USD,10000,14.8,148000,Efectivo,Sergio,
7/4/2025,USD,100,15.6,1560,Efectivo,Sergio,
7/4/2025,USD,160,15.6,2496,Efectivo,Sergio,
7/7/2025,USD,2000,15.4,30800,Efectivo,Sergio,
7/7/2025,CLP ,30,17,510,Efectivo,Sergio,
7/8/2025,USD,85,15.6,1326,Efectivo,Sergio,
7/8/2025,USD,250,15.6,3900,Efectivo,Sergio,50 sueltos
7/8/2025,USD,40,15,600,Efectivo,Sergio,
7/8/2025,USD,100,15.6,1560,Efectivo,Sergio,
7/11/2025,USD,100,15.3,1530,Efectivo,Sergio,
7/11/2025,USD,150,15.4,2310,Efectivo,Sergio,
7/14/2025,USD,200,15.5,3100,Efectivo,Sergio,
7/15/2025,USD,15000,14.78,221700,Efectivo,Sergio,
7/17/2025,CLP ,5,17,85,Efectivo,Sergio,
7/18/2025,USD,700,15,10500,Efectivo,Sergio,
7/29/2025,USD,700,14,9800,Efectivo,Sergio,
7/29/2025,USD,400,14.2,5680,Efectivo,Sergio,
7/31/2025,USD,5900,13.8,81420,Efectivo,Sergio,
7/31/2025,USD,200,14,2800,Efectivo,Sergio,
6/27/2025,USD,2000,16.25,32500,Efectivo,Tiffani,
7/2/2025,USD,400,15,6000,Efectivo,Tiffani,2000 en qr
7/3/2025,USD,100,15.6,1560,Efectivo,Tiffani,
7/5/2025,USD,470,15.6,7332,Efectivo,Tiffani,
7/5/2025,USD,150,15.6,2340,Efectivo,Tiffani,
7/5/2025,USD,100,15.6,1560,Efectivo,Tiffani,
7/5/2025,USD,525,15.6,8190,Efectivo,Tiffani,
7/7/2025,USD,3000,15.6,46800,Efectivo,Tiffani,
7/9/2025,USD,5100,15.7,80070,Efectivo,Tiffani,100 sueltos 
7/12/2025,USD,100,15.2,1520,Efectivo,Tiffani,
7/12/2025,USD,200,15.2,3040,Efectivo,Tiffani,
7/17/2025,USD,3000,15.1,45300,QR,Tiffani,26800 cuenta T
7/18/2025,USD,35,15,525,Efectivo,Tiffani,
7/29/2025,USD,300,14.2,4260,Efectivo,Tiffani,
7/30/2025,USD,10,14.5,145,Efectivo,Tiffani,
7/31/2025,USD,1000,14.1,14100,Efectivo,Tiffani,
,,69220,,1045442,,,
