ID,Fecha,Moneda,Monto Vendido,Tipo de Cambio (Bs),Total en Bolivianos (Bs),Medio de Pago,Responsable,Observaciones
1,3/11/25,USD,"2,000.00",11.50,"23,000.00",Efectivo,Tiffani,11000 en QR
2,3/11/25,USD,300.00,11.60,"3,480.00",Efectivo,Tiffani,
3,4/11/25,USD,200.00,11.60,"2,320.00",Efectivo,Tiffani,
4,5/11/25,USD,220.00,11.50,"2,530.00",QR,Tiffani,430 en efectivo
5,6/11/25,USD,"1,000.00",10.90,"10,900.00",Efectivo,Tiffani,
6,6/11/25,USD,500.00,11.00,"5,500.00",QR,Tiffani,
7,6/11/25,USD,200.00,11.00,"2,200.00",Efectivo,Tiffani,
8,6/11/25,USD,150.00,11.00,"1,650.00",Efectivo,Tiffani,
9,6/11/25,USD,"2,000.00",10.90,"21,800.00",Efectivo,Tiffani,
10,7/11/25,USD,"1,000.00",10.80,"10,800.00",Efectivo,Tiffani,
11,8/11/25,USD,"3,000.00",11.00,"33,000.00",Efectivo,Tiffani,
12,10/11/25,USD,"2,150.00",10.70,"23,005.00",Efectivo,Tiffani,55 bs en monedas
13,12/11/25,USD,"2,000.00",10.50,"21,000.00",Efectivo,Tiffani,lesliy
14,12/11/25,USD,300.00,10.50,"3,150.00",Efectivo,Tiffani,lesliy
15,12/11/25,USD,500.00,10.50,"5,250.00",Efectivo,Tiffani,
16,13/11/25,USD,100.00,10.60,"1,060.00",Efectivo,Tiffani,
17,13/11/25,USD,900.00,10.60,"9,540.00",Efectivo,Tiffani,
18,13/11/25,USD,"1,000.00",10.70,"10,700.00",Efectivo,Tiffani,lesliy
19,13/11/25,USD,"1,000.00",10.60,"10,600.00",Efectivo,Tiffani,lesliy
20,14/11/25,USD,"1,300.00",10.80,"14,040.00",Efectivo,Tiffani,Lesliy
21,14/11/25,USD,110.00,10.80,"1,188.00",Efectivo,Tiffani,
22,15/11/25,USD,500.00,10.70,"5,350.00",Efectivo,Tiffani,
23,15/11/25,USD,100.00,10.50,"1,050.00",Efectivo,Tiffani,
24,17/11/25,PEN ,700.00,3.00,"2,100.00",Efectivo,Tiffani,
25,19/11/25,USD,100.00,10.50,"1,050.00",Efectivo,Tiffani,
26,24/11/25,USD,50.00,10.50,525.00,Efectivo,Tiffani,
27,24/11/25,USD,750.00,10.60,"7,950.00",Efectivo,Tiffani,
28,24/11/25,USD,500.00,10.60,"5,300.00",Efectivo,Tiffani,
29,25/11/25,USD,30.00,10.00,300.00,Efectivo,Tiffani,
30,25/11/25,USD,"1,400.00",10.60,"14,840.00",Efectivo,Tiffani,
31,26/11/25,USD,500.00,10.50,"5,250.00",Efectivo,Tiffani,
32,4/11/25,USD,950.00,11.50,"10,925.00",Efectivo,Sergio,
33,4/11/25,USD,510.00,11.60,"5,916.00",QR,Sergio,
34,5/11/25,USD,"2,500.00",11.50,"28,750.00",Efectivo,Sergio,
35,5/11/25,USD,100.00,11.50,"1,150.00",Efectivo,Sergio,
36,5/11/25,EUR,"4,000.00",15.00,"60,000.00",Efectivo,Sergio,
37,5/11/25,USD,10.00,11.00,110.00,Efectivo,Sergio,
38,6/11/25,USD,200.00,11.00,"2,200.00",Efectivo,Sergio,
39,7/11/25,USD,300.00,11.00,"3,300.00",Efectivo,Sergio,
40,8/11/25,USD,"1,100.00",11.10,"12,210.00",Efectivo,Sergio,
41,10/11/25,USD,100.00,10.80,"1,080.00",Efectivo,Sergio,
42,10/11/25,USD,60.00,10.80,648.00,Efectivo,Sergio,
43,10/11/25,USD,"11,000.00",10.50,"115,500.00",Efectivo,Sergio,
44,10/11/25,USD,500.00,10.70,"5,350.00",Efectivo,Sergio,
45,11/11/25,USD,350.00,10.50,"3,675.00",Efectivo,Sergio,
46,11/11/25,USD,900.00,10.50,"9,450.00",Efectivo,Sergio,
47,12/11/25,USD,300.00,10.50,"3,150.00",Efectivo,Sergio,lesliy
48,12/11/25,USD,400.00,10.50,"4,200.00",QR,Sergio,
49,13/11/25,USD,"1,000.00",10.70,"10,700.00",Efectivo,Sergio,
50,14/11/25,USD,400.00,10.80,"4,320.00",Efectivo,Sergio,lesliy
51,14/11/25,USD,50.00,10.80,540.00,Efectivo,Sergio,
52,15/11/25,USD,"1,700.00",10.50,"17,850.00",Efectivo,Sergio,
53,17/11/25,USD,"1,000.00",10.70,"10,700.00",Efectivo,Sergio,
54,19/11/25,USD,300.00,10.50,"3,150.00",Efectivo,Sergio,
55,19/11/25,USD,285.00,10.50,"2,992.50",Efectivo,Sergio,
56,19/11/25,USD,600.00,10.50,"6,300.00",Efectivo,Sergio,
57,21/11/25,USD,"3,800.00",10.50,"39,900.00",Efectivo,Sergio,
58,21/11/25,USD,50.00,10.50,525.00,Efectivo,Sergio,
59,22/11/25,USD,"1,000.00",10.50,"10,500.00",Efectivo,Sergio,
60,24/11/25,USD,100.00,10.60,"1,060.00",Efectivo,Sergio,
61,25/11/25,USD,"2,000.00",10.60,"21,200.00",Efectivo,Sergio,
62,26/11/25,USD,"4,700.00",10.50,"49,350.00",Efectivo,Sergio,
63,26/11/25,USD,"3,000.00",10.50,"31,500.00",Efectivo,Sergio,
64,26/11/25,USD,200.00,10.50,"2,100.00",Efectivo,Sergio,
65,26/11/25,EUR,"2,000.00",11.50,"23,000.00",Efectivo,Sergio,
66,27/11/25,USD,100.00,10.40,"1,040.00",Efectivo,Sergio,
67,27/11/25,USD,"1,000.00",10.20,"10,200.00",Efectivo,Sergio,
68,27/11/25,USD,100.00,10.40,"1,040.00",Efectivo,Sergio,
69,28/11/25,USD,150.00,10.40,"1,560.00",Efectivo,Sergio,
70,28/11/25,USD,700.00,10.30,"7,210.00",Efectivo,Sergio,
,26/11/25,,"72,075.00",10.60,"784,779.50",,,
