ID,Fecha,Moneda,Monto Vendido,Tipo de Cambio (Bs),Total en Bolivianos (Bs),Medio de Pago,Responsable,Observaciones
1,3/10/25,USD,"1,000.00",12.70,"12,700.00",Efectivo,Tiffani,
2,6/10/25,USD,100.00,12.60,"1,260.00",Efectivo,Tiffani,
3,7/10/25,USD,100.00,12.50,"1,250.00",QR,Tiffani,
4,8/10/25,USD,800.00,12.90,"10,320.00",Efectivo,Tiffani,
5,9/10/25,EUR,200.00,15.00,"3,000.00",Efectivo,Tiffani,
6,10/10/25,BRL,700.00,2.40,"1,680.00",Efectivo,Tiffani,
7,13/10/25,USD,100.00,13.10,"1,310.00",Efectivo,Tiffani,
8,14/10/25,USD,150.00,13.20,"1,980.00",Efectivo,Tiffani,
9,15/10/25,USD,"1,000.00",13.05,"13,050.00",Efectivo,Tiffani,
10,16/10/25,USD,"2,000.00",13.20,"26,400.00",Efectivo,Tiffani,
11,21/10/25,USD,100.00,13.20,"1,320.00",Efectivo,Tiffani,
12,21/10/25,USD,100.00,13.20,"1,320.00",Efectivo,Tiffani,
13,23/10/25,USD,8.00,12.90,103.20,Efectivo,Tiffani,
14,23/10/25,USD,200.00,13.10,"2,620.00",Efectivo,Tiffani,
15,27/10/25,EUR,50.00,15.00,750.00,Efectivo,Tiffani,
16,28/10/25,USD,100.00,12.80,"1,280.00",Efectivo,Tiffani,
17,30/10/25,USD,"1,000.00",11.60,"11,600.00",Efectivo,Tiffani,
18,30/10/25,USD,500.00,11.60,"5,800.00",Efectivo,Tiffani,
19,2/10/25,USD,"1,000.00",12.80,"12,800.00",Efectivo,Sergio,
20,2/10/25,USD,100.00,12.80,"1,280.00",Efectivo,Sergio,
21,2/10/25,USD,200.00,12.80,"2,560.00",Efectivo,Sergio,
22,4/10/25,USD,100.00,12.70,"1,270.00",Efectivo,Sergio,
23,4/10/25,USD,"2,000.00",12.70,"25,400.00",Efectivo,Sergio,
24,6/10/25,USD,500.00,12.60,"6,300.00",Efectivo,Sergio,
25,7/10/25,ARS,50.00,8.00,400.00,Efectivo,Sergio,
26,7/10/25,USD,"1,700.00",12.50,"21,250.00",Efectivo,Sergio,
27,8/10/25,USD,"4,000.00",12.90,"51,600.00",Efectivo,Sergio,4000 QR
28,8/10/25,USD,500.00,12.90,"6,450.00",Efectivo,Sergio,
29,8/10/25,USD,"5,000.00",12.90,"64,500.00",Efectivo,Sergio,
30,9/10/25,USD,"5,000.00",12.90,"64,500.00",Efectivo,Sergio,
31,10/10/25,USD,"2,000.00",13.00,"26,000.00",QR,Sergio,
32,10/10/25,PEN ,"1,000.00",3.70,"3,700.00",Efectivo,Sergio,
33,13/10/25,USD,220.00,13.20,"2,904.00",Efectivo,Sergio,
34,14/10/25,CLP ,225.00,13.30,"2,992.50",Efectivo,Sergio,2100
35,15/10/25,USD,"3,000.00",13.05,"39,150.00",Efectivo,Sergio,
36,15/10/25,USD,50.00,13.10,655.00,QR,Sergio,
37,16/10/25,USD,600.00,13.10,"7,860.00",Efectivo,Sergio,
38,17/10/25,USD,100.00,13.20,"1,320.00",Efectivo,Sergio,
39,20/10/25,USD,100.00,13.20,"1,320.00",Efectivo,Sergio,
40,20/10/25,USD,500.00,13.20,"6,600.00",Efectivo,Sergio,
41,20/10/25,USD,100.00,13.20,"1,320.00",Efectivo,Sergio,
42,21/10/25,USD,"10,000.00",13.05,"130,500.00",Efectivo,Sergio,
43,24/10/25,USD,400.00,12.80,"5,120.00",Efectivo,Sergio,
44,27/10/25,USD,500.00,12.80,"6,400.00",Efectivo,Sergio,
45,28/10/25,USD,100.00,13.00,"1,300.00",Efectivo,Sergio,
46,30/10/25,USD,"6,000.00",11.90,"71,400.00",Efectivo,Sergio,
47,30/10/25,USD,"15,000.00",11.72,"175,800.00",Efectivo,Sergio,
48,30/10/25,USD,400.00,2.30,920.00,Efectivo,Sergio,
,,,"68,653.00",12.90,"841,314.70",,,
