  ,Fecha,Mes,Tipo,Divisa,Cantidad,Tipo Cambio (Bs),Total Bs,Medio Pago,Responsable,Notas,Compras Acumuladas (Unid),Tipo Cambio Prom Acumulado (Compra),Ventas Acumuladas (Unid),Tipo Cambio Prom Acumulado (Venta),Ganancia realizada,Ganancia Potencial,,
1,2/1/2026,1,Venta,CLP,"45,00","11,00","495,00",Efectivo,Sergio,Inicio 2026,0,0,"45,00","11,00","0,0",,,
2,1/2/2026,1,Compra,ARS,"8,00","5,00","40,00",Efectivo,Sergio,Sin observaciones,8,5,"0,00","0,00",,"-40,00",,
3,1/2/2026,1,Compra,EUR,"20,00","10,40","208,00",Efectivo,Sergio,Sin observaciones,20,"10,4","0,00","0,00",,"-208,00",,
4,1/2/2026,1,Compra,USD,"100,00","9,50","950,00",Efectivo,Sergio,Sin observaciones,100,"9,5","0,00","0,00",,"-950,00",,
5,1/2/2026,1,Compra,USD,"100,00","9,50","950,00",Efectivo,Sergio,Sin observaciones,200,"9,5","0,00","0,00",,"-950,00",,
6,1/2/2026,1,Venta,USD,"400,00","10,00","4.000,00",Efectivo,Sergio,Sin observaciones,200,"9,5","400,00","10,00","100,0",,,
7,1/2/2026,1,Venta,USD,"200,00","10,00","2.000,00",Efectivo,Sergio,Sin observaciones,200,"9,5","600,00","10,00","0,0",,,
8,1/2/2026,1,Compra,USD,"200,00","9,50","1.900,00",Efectivo,Sergio,Sin observaciones,400,"9,5","600,00","10,00",,"100,00",,
9,1/2/2026,1,Venta,USD,"600,00","10,00","6.000,00",Efectivo,Sergio,Sin observaciones,400,"9,5","1200,00","10,00","100,0",,,
10,1/2/2026,1,Compra,USD,"100,00","9,50","950,00",Efectivo,Sergio,Sin observaciones,500,"9,5","1200,00","10,00",,"50,00",,
11,1/2/2026,1,Venta,USD 1 y 2,"50,00","9,50","475,00",QR,Sergio,Sin observaciones,0,0,"50,00","9,50","0,0",,,
12,1/2/2026,1,Venta,USD sueltos,"120,00","9,50","1.140,00",QR,Sergio,Sin observaciones,0,0,"120,00","9,50","0,0",,,
13,1/3/2026,1,Compra,CLP,"20,00","9,60","192,00",Efectivo,Sergio,Sin observaciones,20,"9,6","45,00","11,00",,"28,00",,
14,1/3/2026,1,Compra,CLP,"12,00","9,60","115,20",Efectivo,Tiffani,Sin observaciones,32,"9,6","45,00","11,00",,"16,80",,
15,1/3/2026,1,Venta,USD,"1.000,00","10,00","10.000,00",Efectivo,Sergio,Sin observaciones,500,"9,5","2200,00","10,00","50,0",,,
16,1/3/2026,1,Compra,USD,"100,00","9,60","960,00",Efectivo,Sergio,Sin observaciones,600,"9,5167","2200,00","10,00",,"40,00",,
17,1/3/2026,1,Compra,USD,"500,00","9,60","4.800,00",Efectivo,Sergio,Sin observaciones,1100,"9,5545","2200,00","10,00",,"200,00",,
18,1/3/2026,1,Compra,USD,"100,00","9,60","960,00",Efectivo,Sergio,Sin observaciones,1200,"9,5583","2200,00","10,00",,"40,00",,
19,1/3/2026,1,Compra,USD,"100,00","9,60","960,00",Efectivo,Sergio,Sin observaciones,1300,"9,5615","2200,00","10,00",,"40,00",,
20,1/3/2026,1,Compra,USD,"100,00","9,60","960,00",Efectivo,Sergio,Sin observaciones,1400,"9,5643","2200,00","10,00",,"40,00",,
21,1/3/2026,1,Compra,USD,"100,00","9,60","960,00",Efectivo,Tiffani,Sin observaciones,1500,"9,5667","2200,00","10,00",,"40,00",,
22,1/3/2026,1,Compra,USD,"100,00","9,60","960,00",Efectivo,Tiffani,Sin observaciones,1600,"9,5688","2200,00","10,00",,"40,00",,
23,1/3/2026,1,Compra,USD,"50,00","9,60","480,00",Efectivo,Tiffani,Sin observaciones,1650,"9,5697","2200,00","10,00",,"20,00",,
24,1/5/2026,1,Compra,CLP,"10,00","9,60","96,00",Efectivo,Sergio,Sin observaciones,42,"9,6","45,00","11,00",,"14,00",,
25,1/5/2026,1,Compra,CLP,"70,00","9,60","672,00",Efectivo,Sergio,Sin observaciones,112,"9,6","45,00","11,00",,"98,00",,
26,1/5/2026,1,Compra,CLP,"100,00","9,60","960,00",Efectivo,Sergio,Sin observaciones,212,"9,6","45,00","11,00",,"140,00",,
27,1/5/2026,1,Compra,CLP,"40,00","9,50","380,00",Efectivo,Tiffani,Sin observaciones,252,"9,5841","45,00","11,00",,"60,00",,
28,1/5/2026,1,Compra,USD,"8.500,00","9,70","82.450,00",Efectivo,Sergio,Sin observaciones,10150,"9,6788","2200,00","10,00",,"2550,00",,
29,1/5/2026,1,Compra,USD,"100,00","9,60","960,00",Efectivo,Sergio,Sin observaciones,10250,"9,678","2200,00","10,00",,"40,00",,
30,1/5/2026,1,Venta,USD,"200,00","10,00","2.000,00",Efectivo,Sergio,Sin observaciones,10250,"9,678","2400,00","10,00","80,0",,,
31,1/5/2026,1,Compra,USD,"200,00","9,70","1.940,00",Efectivo,Sergio,Sin observaciones,10450,"9,6785","2400,00","10,00",,"60,00",,
32,1/5/2026,1,Compra,USD,"400,00","9,70","3.880,00",Efectivo,Sergio,Sin observaciones,10850,"9,6793","2400,00","10,00",,"120,00",,
33,1/5/2026,1,Venta,USD,"500,00","10,00","5.000,00",Efectivo,Sergio,Sin observaciones,10850,"9,6793","2900,00","10,00","200,0",,,
34,1/5/2026,1,Venta,USD,"100,00","10,00","1.000,00",QR,Sergio,Sin observaciones,10850,"9,6793","3000,00","10,00","40,0",,,
35,1/5/2026,1,Compra,USD,"100,00","9,60","960,00",Efectivo,Sergio,Sin observaciones,10950,"9,6785","3000,00","10,00",,"40,00",,
36,1/5/2026,1,Venta,USD,"100,00","10,00","1.000,00",QR,Sergio,Sin observaciones,10950,"9,6785","3100,00","10,00","40,0",,,
37,1/5/2026,1,Venta,USD,"2.500,00","10,00","25.000,00",Efectivo,Sergio,Sin observaciones,10950,"9,6785","5600,00","10,00","775,0",,,
38,1/5/2026,1,Compra,USD,"300,00","9,60","2.880,00",Efectivo,Tiffani,Sin observaciones,11250,"9,6764","5600,00","10,00",,"120,00",,
